Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Actinomycetota	201174	36.86	1556247	1552099
Bacillota	1239	26.860000000000003	949587	1131019
Bacteroidota	976	21.219999999999995	1149411	893530
Bacillota_A	1239	13.39	486961	563823
Bacillota_C	1239	0.6500000000000001	17908	27369
Campylobacterota	1224	0.53	17149	22317
Synergistota	508458	0.33	11483	13896
Pseudomonadota	1224	0.11	16975	4631
Bacillota_B	1239	0.04	1632	1684
Desulfobacterota	2904303	0.03	2913	1263
Fusobacteriota	32066	0.01	526	421
