Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Cutibacterium	1912216	4530.14	34.582	10
Propionibacterium	1743	4481.23	34.208	13
Corynebacterium	1716	1257.65	9.601	9852
Staphylococcus	1279	937.71	7.158000000000001	2232
Micrococcus	1269	783.4	5.9799999999999995	798
Enhydrobacter	212791	307.36	2.346	3337
Kocuria	57493	146.34	1.117	32
Streptococcus	1301	116.75	0.8909999999999999	7
Burkholderiales_u_g	80840	110.78	0.8460000000000001	10
Finegoldia	150022	107.7	0.822	129
Anaerococcus	165779	84.32	0.644	15
Tissierellia_u_g	1737404	81.32	0.621	1127
Varibaculum	184869	78.11	0.596	98
Peptoniphilus	162289	76.99	0.588	117
