Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus	1279	37184.2	85.81000000000002	26978
Micrococcus	1269	2366.65	5.462	1916
Corynebacterium	1716	1110.47	2.562	7171
Aerococcus	1375	676.17	1.5599999999999998	6122
Pseudomonas	286	594.2	1.371	10410
Acinetobacter	469	409.1	0.944	4202
Cutibacterium	1912216	190.43	0.439	1053
Finegoldia	150022	178.25	0.411	123
Porphyromonas	836	171.47	0.396	15
Propionibacteriaceae_u_g	31957	144.23	0.333	41
Actinomyces	1654	124.75	0.28800000000000003	46
Jeotgalicoccus	227979	92.72	0.214	76
Aeromonas	642	90.62	0.209	9
