Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Cutibacterium	1912216	21442.98	26.001	563
Propionibacterium	1743	20101.99	24.375	94
Kocuria	57493	7042.069999999999	8.54	215870
Corynebacterium	1716	6182.45	7.497000000000001	61653
Staphylococcus	1279	5861.02	7.108	5884
Micrococcus	1269	3149.79	3.819	3619
Prevotella	838	2430.9	2.9490000000000003	27127
Enhydrobacter	212791	2309.67	2.801	22738
Actinomyces	1654	2024.65	2.455	17919
Streptococcus	1301	1369.1799999999998	1.66	3116
Paenibacillus	44249	1343.29	1.629	16817
Anaerococcus	165779	998.12	1.2109999999999999	7896
Lactobacillus	1578	936.5	1.1360000000000001	3601
Peptoniphilus	162289	928.17	1.125	3920
Fenollaria	1686313	877.95	1.065	9053
Tissierellia_u_g	1737404	788.97	0.9570000000000001	9135
Dialister	39948	678.46	0.823	10
Porphyromonas	836	660.15	0.801	10804
Kytococcus	57499	630.39	0.764	12236
Finegoldia	150022	349.28	0.424	3744
Levyella	1715798	339.02	0.411	4953
Acinetobacter	469	265.55	0.322	800
Facklamia	66831	186.21	0.22599999999999998	920
Bacteroides	816	185.76	0.22499999999999998	11
Rothia	32207	161.23	0.196	1134
Ruminococcus	1263	153.01	0.186	9
Clostridiales Family XIII. Incertae Sedis_u_g	543314	141.19	0.17099999999999999	1756
Granulicatella	117563	137.82	0.167	12
Varibaculum	184869	121.28	0.147	1946
Gemella	1378	109.34	0.133	23
Campylobacter	194	105.03	0.127	1172
Faecalibacterium	216851	103.4	0.125	72
Propionibacteriaceae_u_g	31957	98.29	0.11900000000000001	116
Neisseriaceae_u_g	481	90.9	0.11	24
Mobiluncus	2050	82.09	0.1	66
Veillonella	29465	82.32	0.1	24
