Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus aureus	1280	7048.22	38.297	4732
Corynebacterium pseudogenitalium	38303	4471.35	24.295	39441
Corynebacterium tuberculostearicum	38304	4365.92	23.721999999999998	32771
Corynebacterium sp. KPL1856	1203563	932.83	5.069	11
Staphylococcus_u_s	1279	417.84	2.27	31
Staphylococcus caprae	29380	410.4	2.23	7216
Staphylococcus capitis	29388	275.67	1.498	52
Staphylococcus epidermidis	1282	253.91	1.38	87
Corynebacterium striatum	43770	137.34	0.746	3590
Staphylococcus warneri	1292	90.69	0.49300000000000005	16
