Enzyme ID	Name	Copies per Million (CPM)	Relative Abundance
2.7.13.3	Histidine kinase	26880.2	2.6880202133212845
3.6.4.12	DNA helicase	13470.7	1.347070106903484
2.7.7.7	DNA-directed DNA polymerase	11979.9	1.1979900950724942
1.6.5.11	NADH dehydrogenase (quinone)	7634.68	0.7634680605888255
5.2.1.8	Peptidylprolyl isomerase	7381.22	0.7381220585773668
2.4.1.1	Glycogen phosphorylase	7274.45	0.72744505773004
3.6.3.17	Transferred entry 7.5.2.8	6138.89	0.6138890487182351
2.7.7.6	DNA-directed RNA polymerase	5700.37	0.57003704523814
2.2.1.6	Acetolactate synthase	4864.1	0.4864100386015008
1.17.4.1	Ribonucleoside-diphosphate reductase	4554.44	0.4554440361440388
2.4.1.25	4-alpha-glucanotransferase	4442.54	0.44425403525600027
3.1.4.52	Cyclic-guanylate-specific phosphodiesterase	4243.06	0.42430603367292696
1.7.99.4	Nitrate reductase	4168.39	0.41683903308034576
5.99.1.3	Transferred entry 5.6.2.2	3860.29	0.38602903063526395
3.4.16.4	Serine-type D-Ala-D-Ala carboxypeptidase	3832.51	0.38325103041480185
2.7.1.69	2.7.1.208	3801.83	0.3801830301713253
3.1.11.5	Exodeoxyribonuclease V	3780.41	0.3780410300013362
2.7.7.65	Diguanylate cyclase	3739.75	0.3739750296786584
1.4.1.13	Glutamate synthase (NADPH)	3614.55	0.3614550286850712
2.7.3.9	Phosphoenolpyruvate--protein phosphotransferase	3481.41	0.34814102762847204
3.6.4.13	RNA helicase	3307.83	0.330783026250941
3.2.1.23	Beta-galactosidase	3232.06	0.32320602564963025
3.2.1.28	Alpha,alpha-trehalase	3126.12	0.3126120248088904
3.5.1.28	N-acetylmuramoyl-L-alanine amidase	3078.65	0.3078650244321684
1.1.5.3	Glycerol-3-phosphate dehydrogenase	3061.03	0.3061030242923361
1.1.1.3	Homoserine dehydrogenase	3027.99	0.3027990240301306
1.6.5.5	NADPH:quinone reductase	3014.01	0.30140102391918533
3.6.3.14	Transferred entry 7.1.2.2	2987.01	0.29870102370491336
2.4.1.129	Peptidoglycan glycosyltransferase	2984.65	0.2984650236861844
6.1.1.6	Lysine--tRNA ligase	2982.82	0.29828202367166146
2.3.2.2	Gamma-glutamyltransferase	2955.93	0.2955930234582624
6.3.5.5	Carbamoyl-phosphate synthase (glutamine-hydrolyzing)	2949.29	0.29492902340556737
3.6.3.3	Transferred entry 7.2.2.21	2888.91	0.2888910229263916
1.17.1.9	Formate dehydrogenase	2848.63	0.2848630226067296
2.3.1.54	Formate C-acetyltransferase	2823.09	0.2823090224040441
2.7.1.15	Ribokinase	2806.41	0.2806410222716716
3.2.1.86	6-phospho-beta-glucosidase	2800.66	0.2800660222260396
1.1.1.1	Alcohol dehydrogenase	2765.34	0.27653402194574006
5.99.1.2	Transferred entry 5.6.2.1	2743.44	0.27434402177194167
1.2.1.11	Aspartate-semialdehyde dehydrogenase	2711.01	0.27110102151457716
4.1.2.13	Fructose-bisphosphate aldolase	2686.85	0.26868502132284333
3.4.21.107	Peptidase Do	2637.04	0.2637040209275512
1.17.1.4	Xanthine dehydrogenase	2553.23	0.2553230202624349
