Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bacilli	91061	93.86999999999999	5596003	5948714
Clostridia	186801	3.609999999999999	392118	228770
Bacteroidia	200643	1.08	172682	68444
Actinomycetia	1760	0.9	94190	57035
Coriobacteriia	84998	0.32999999999999996	35135	20910
Alphaproteobacteria	28211	0.09	34100	5704
Verrucomicrobiae	203494	0.05	6765	3169
Desulfovibrionia	28221	0.03	4012	1901
Negativicutes	909932	0.02	860	1267
Gammaproteobacteria	1236	0.01	745	634
Campylobacteria	29547	0.01	573	634
