Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Human immunodeficiency virus 1	11676	7529.91	63.665000000000006	0.082721	0.082721	7534
Equine infectious anemia virus	11665	2691.23	22.753999999999998	0.018813	0.018813	7102
MW polyomavirus	1203539	219.44	1.855	0.039284	0.039284	165
unclassified Myoviridae	196896	189.85	1.6049999999999998	0.033761	0.033761	79
Staphylococcus phage StB20	1147043	166.4	1.407	0.023654	0.023788	680
Acinetobacter phage Bphi-B1251	1221835	156.74	1.325	0.019888	0.019888	935
Enterobacteria phage YYZ-2008	564886	151.9	1.284	0.030639	0.024113	307
Escherichia virus P1	10678	145.16	1.2269999999999999	0.012419	0.012419	2103
Propionibacterium phage P105	1229788	141.52	1.197	0.011962	0.024873	72
Human papillomavirus type 5	333923	114.06	0.964	0.018699	0.018699	173
Stx2-converting phage 1717	563769	111.31	0.941	0.015155	0.015938	313
Staphylococcus phage phiRS7	1403390	102.64	0.868	0.016238	0.016238	425
Escherichia phage TL-2011b	1124654	75.12	0.635	0.013376	0.013376	212
Enterobacteria phage HK629	1147148	32.17	0.272	0.010526	0.010526	17
