Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Propionibacterium phage P1.1	1229792	6473.26	7.364999999999999	0.024062	0.111403	2569
Staphylococcus phage StB20	1147043	6178.87	7.03	0.283286	0.28132	43513
Propionibacterium phage P14.4	1229784	5663.72	6.444	0.039245	0.095644	6031
Propionibacterium phage P100D	1229789	5332.78	6.068	0.039434	0.108294	3708
Propionibacterium phage P9.1	1229782	5073.1	5.772	0.035219	0.095879	3393
Propionibacterium phage P101A	1229786	4799.61	5.461	0.017324	0.098406	1273
Propionibacterium phage PHL060L00	1235647	4112.29	4.679	0.035276	0.092551	2664
Propionibacterium phage PHL111M01	1235653	4016.48	4.569999999999999	0.027042	0.084451	2573
Propionibacterium phage PAS50	504553	3774.12	4.294	0.021265	0.078762	2059
Propionibacterium phage PHL071N05	1235650	3647.14	4.15	0.024478	0.088154	2211
Propionibacterium phage P105	1229788	3614.74	4.1129999999999995	0.037881	0.090677	2824
Propionibacterium phage PHL113M01	1235655	3575.86	4.069	0.031836	0.089475	2337
Propionibacterium phage P100_1	1229791	3353	3.8150000000000004	0.010897	0.071285	951
Propionibacterium phage PHL112N00	1235654	3249.97	3.698	0.017756	0.064372	1869
Propionibacterium phage P104A	1229787	3176.1	3.614	0.016941	0.070411	1789
Propionibacterium phage ATCC29399B_C	1229794	3095.45	3.5220000000000002	0.03414	0.06566	1464
Propionibacterium phage PA6	376758	3067.17	3.49	0.027541	0.082954	2137
Propionibacterium phage PAD20	504501	2985.02	3.396	0.016491	0.067835	1614
Merkel cell polyomavirus	493803	2966.67	3.376	0.374426	0.372926	1478
Propionibacterium phage PHL067M10	1235649	2818.9	3.2070000000000003	0.020706	0.072387	1631
Propionibacterium phage PHL114L00	1235656	1550.74	1.764	0.011326	0.03619	2192
Propionibacterium phage P100_A	1229790	1104.25	1.256	0.011215	0.032536	1740
Staphylococcus phage TEM123	1168613	801.58	0.9119999999999999	0.024409	0.072254	602
Staphylococcus phage StB27	1147044	747.18	0.8500000000000001	0.040884	0.039647	7062
Human immunodeficiency virus 1	11676	552.77	0.629	0.045956	0.045956	543
Staphylococcus phage CNPH82	398839	452.99	0.515	0.039243	0.041607	1373
Staphylococcus phage 80alpha	53369	284.92	0.32399999999999995	0.040698	0.055398	7
Staphylococcus phage Ipla7	1197953	274.8	0.313	0.018652	0.026827	1146
Staphylococcus phage PH15	399185	275.48	0.313	0.022255	0.028902	900
Staphylococcus phage Ipla5	1197952	253.46	0.28800000000000003	0.029446	0.03051	786
Equine infectious anemia virus	11665	203.86	0.232	0.018813	0.018813	486
Human papillomavirus type 179	1472342	198.06	0.22499999999999998	0.034583	0.034583	198
Staphylococcus phage StB12	1147042	83.19	0.095	0.012304	0.013917	512
Lactobacillus phage phi jlb1	1416334	79.12	0.09	0.012902	0.016067	170
unclassified bacterial viruses	12333	51.57	0.059000000000000004	0.010302	0.010302	60
