Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Acinetobacter lwoffii WJ10621	1046625	5145.25	12.042	38748
Micrococcus luteus	1270	4816.75	11.273	5820
Corynebacterium sp. KPL1856_u_t	1203563	3820.26	8.941	40
Propionibacterium acnes HL013PA2	765070	3691.18	8.639	10
Acinetobacter johnsonii SH046	575586	3686.05	8.627	12436
Propionibacteriaceae_u_t	31957	3279.2	7.674	311
Staphylococcus capitis CR01	1296619	2562.46	5.997	2531
Corynebacterium pseudogenitalium ATCC 33035	525264	2080.91	4.87	16154
Corynebacterium tuberculostearicum SK141	553206	1924.05	4.503	10609
Enhydrobacter aerosaccus SK60	553217	1390.22	3.254	15857
Staphylococcus epidermidis NIHLM008	979217	894.93	2.094	93
Microbacterium sp. KROCY2_u_t	1305732	636.62	1.49	2959
Kocuria palustris PEL	1236550	590.64	1.3820000000000001	2462
Paenibacillus sophorae S27	682957	549.44	1.286	4988
Staphylococcus aureus	1280	431.93	1.011	139
Aeromonas_u_t	642	361.39	0.8460000000000001	24
Corynebacterium massiliense DSM 45435	1121364	355.33	0.832	7440
Staphylococcus sp. TE8_u_t	1472720	325.61	0.762	638
Lactobacillus_u_t	1578	310.06	0.726	13
Staphylococcus pettenkoferi VCU012	904314	287.83	0.674	6461
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	342451	287.41	0.673	167
Kocuria rhizophila	72000	280.23	0.656	2800
Paracoccus sphaerophysae	690417	266.46	0.624	5828
Finegoldia magna	1260	263.57	0.617	232
Acinetobacter ursingii NIPH 706	1217716	235.16	0.5499999999999999	508
Rothia mucilaginosa	43675	232.15	0.543	1093
Acinetobacter sp. 479375_u_t	1310601	226.49	0.53	426
Staphylococcus haemolyticus R1P1	1134914	203.21	0.47600000000000003	82
Lactobacillus crispatus EM-LC1	1328863	203.09	0.475	236
Streptococcus_u_t	1301	191.76	0.449	6
Aerococcus_u_t	1375	182.26	0.42700000000000005	391
Lactobacillus gasseri	1596	179.21	0.41900000000000004	533
Escherichia coli	562	170.08	0.398	19
Staphylococcus_u_t	1279	168.25	0.394	534
Corynebacterium glucuronolyticum ATCC 51866	548478	166.7	0.38999999999999996	1084
Streptococcus parasanguinis	1318	164.81	0.386	6
Corynebacterium ihumii	1232427	155.36	0.364	3522
Brachybacterium paraconglomeratum LC44	1064537	151.98	0.356	3226
Veillonella_u_t	29465	140.65	0.329	20
Porphyromonas somerae DSM 23386	1122975	133.48	0.312	2794
Serratia liquefaciens ATCC 27592	1346614	131.69	0.308	3081
Acinetobacter_u_t	469	124.57	0.292	247
Staphylococcus massiliensis	555791	114.75	0.269	1918
Rothia dentocariosa	2047	109.88	0.257	926
Corynebacterium urealyticum	43771	108.1	0.253	1329
Actinomyces sp. oral taxon 448 str. F0400	888056	106.41	0.249	2510
Paracoccus sanguinis	1545044	99.82	0.234	198
Staphylococcus pasteuri SP1	1276282	98.76	0.231	1190
Lactobacillus oris PB013-T2-3	908339	97.4	0.22799999999999998	622
Neisseria_u_t	482	95.38	0.22300000000000003	70
Lactobacillus vaginalis DSM 5837 = ATCC 49540	1423814	90.3	0.211	1588
Staphylococcus warneri	1292	87.91	0.20600000000000002	360
Stenotrophomonas maltophilia	40324	87.98	0.20600000000000002	99
Pseudomonas putida	303	79.44	0.186	841
Acinetobacter calcoaceticus/baumannii complex_u_t	909768	77.66	0.182	15
Brevundimonas_u_t	41275	76.49	0.179	35
