Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Corynebacterium	1716	61672.03	23.395999999999997	66929
Staphylococcus	1279	61583.87	23.363	4388
Dialister	39948	29989.53	11.376999999999999	671
Peptoniphilus	162289	29125.769999999997	11.049	512347
Anaerococcus	165779	18681.77	7.085999999999999	234479
Prevotella	838	13923.769999999999	5.283	377013
Actinomyces	1654	12978.63	4.9239999999999995	347686
Finegoldia	150022	11867.31	4.502	239682
Peptostreptococcus	1257	4603.820000000001	1.7460000000000002	29774
Negativicoccus	909928	4476.2	1.698	32285
Propionibacterium	1743	2401.25	0.911	1855
Cutibacterium	1912216	2264.06	0.859	666
Tissierellia_u_g	1737404	2205.16	0.8370000000000001	17737
Streptococcus	1301	1828.82	0.6940000000000001	4372
Porphyromonas	836	1684.46	0.639	30821
Campylobacter	194	1326.74	0.503	8456
Varibaculum	184869	973	0.369	13774
Clostridioides	1870884	516.08	0.196	1266
Micrococcus	1269	379.03	0.14400000000000002	481
Propionibacteriaceae_u_g	31957	351.2	0.133	10
Mobiluncus	2050	292.99	0.11100000000000002	107
Facklamia	66831	149.95	0.056999999999999995	15
Christensenella	990721	143.22	0.054	475
Atopobium	1380	89.88	0.034	231
Rothia	32207	85.72	0.033	19
