Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcaceae	90964	67192.90000000001	91.524	2620
Moraxellaceae	468	1498.7600000000002	2.042	2037
Micrococcaceae	1268	1249.3	1.7009999999999998	1792
Rhodospirillales_u_f	204441	915.61	1.247	8700
Propionibacteriaceae	31957	803.88	1.095	2684
Paenibacillaceae	186822	517.64	0.705	5846
Streptococcaceae	1300	392.91999999999996	0.5349999999999999	614
Bacillaceae	186817	271.61	0.37	207
Aerococcaceae	186827	255.08	0.347	2264
Pasteurellaceae	712	195.88	0.267	605
Caulobacteraceae	76892	121.08	0.165	39
