Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bifidobacterium dentium	1689	73.55	8238815	7576771
Lactobacillus gasseri GCA_015550315.1	1596	25.670000000000005	1967207	2644401
Allobacillus halotolerans GCA_007559355.1	1955271	0.35	37677	36055
Imtechella halotolerans GCA_000260835.1	946077	0.33	43761	33995
Winkia sp002849225 GCA_002849225.1	2066054	0.02	2381	2060
Varibaculum massiliense GCA_900106855.1	1852372	0.01	476	1030
Varibaculum cambriense GCA_000420065.1	1123488	0.01	688	1030
Actinobaculum massiliense GCA_000315465.1	883066	0.01	529	1030
Enterococcus faecalis	1351	0.01	582	1030
Prevotella timonensis GCA_000455445.1	1122992	0.01	1171	1030
Prevotella timonensis_A GCA_000762405.1	1401062	0.01	901	1030
Prevotella disiens GCA_000613345.1	1235811	0.01	688	1030
Finegoldia magna_H GCA_000179495.1	768713	0.01	476	1030
Bradyrhizobium sp003020075 GCA_000465325.1	1230476	0.01	3688	1030
Bradyrhizobium_u_t	374	0.01	2484	1030
