Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillales	186826	64.53	198658	243344
Bacillales_D	1385	11.97	47105	45139
Flavobacteriales	200644	11.39	55071	42952
Enterobacterales	91347	2.56	18471	9654
Staphylococcales	1385	2.49	8953	9389
Rhizobiales	356	2.19	26077	8259
Actinomycetales	2037	1.8599999999999999	6648	7013
Lachnospirales	186802	0.72	4160	2714
Propionibacteriales	85009	0.7	2713	2640
Burkholderiales	80840	0.5800000000000001	5481	2187
Tissierellales	1737405	0.41000000000000003	1158	1546
Erysipelotrichales	526525	0.18000000000000002	871	679
Veillonellales	1843489	0.14	453	528
Oscillospirales	186802	0.09	444	340
Mycobacteriales	85010	0.06	262	226
Acidaminococcales	1843488	0.06	206	226
UBA1381	186801	0.04	201	151
Coriobacteriales	84999	0.04	170	151
