Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus phage TEM123	1168613	5727.43	18.4	0.241732	0.484906	1364
Staphylococcus phage phiETA2	326036	3447.78	11.076	0.14145	0.408498	628
Staphylococcus phage tp310-3	445517	2663.68	8.556999999999999	0.05614	0.277238	81
Staphylococcus phage P954	668618	2152.93	6.916	0.111803	0.442293	759
Staphylococcus phage 88	320848	2010.91	6.460000000000001	0.029905	0.224811	81
Staphylococcus phage phiPVL-CN125	648017	1741.97	5.596	0.019692	0.199087	33
Staphylococcus phage phiETA	106284	1698.85	5.457999999999999	0.053102	0.189397	368
Staphylococcus phage 55	320845	1615.75	5.191	0.020401	0.184292	108
Staphylococcus phage phiMR25	487152	1320.29	4.2410000000000005	0.04246	0.455572	399
Staphylococcus phage StauST398-5	1308897	1236.17	3.971	0.311765	0.13472	884
Staphylococcus phage Pvl108	360398	1225.77	3.9379999999999997	0.015267	0.181632	21
Staphylococcus phage Sap26	872294	957.1	3.075	0.028215	0.433036	144
Staphylococcus phage phiBU01	1519999	752.21	2.416	0.017391	0.379431	63
Staphylococcus phage SA12	1347760	717.2	2.3040000000000003	0.026467	0.401962	145
Staphylococcus phage 42E	320837	613.89	1.9720000000000002	0.052436	0.076642	417
Staphylococcus phage phiNM3	387909	575.08	1.847	0.015326	0.440886	16
Staphylococcus phage tp310-2	445516	567.62	1.823	0.144627	0.067727	1123
Staphylococcus phage 85	59506	515.29	1.6549999999999998	0.019645	0.448021	71
Staphylococcus phage PT1028	320831	426.47	1.37	0.053114	0.053114	996
Staphylococcus phage StauST398-4	1308896	373.57	1.2	0.017563	0.359573	156
Human immunodeficiency virus 1	11676	343.51	1.1039999999999999	0.04473	0.04473	274
Equine infectious anemia virus	11665	200.22	0.643	0.018331	0.018331	482
Staphylococcus phage 11	12360	148.46	0.477	0.015086	0.536649	32
Staphylococcus phage phiNM	387905	95.95	0.308	0.021004	0.508552	30
