Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Streptococcaceae	1300	39.44	1477214	1584761
Aerococcaceae	186827	17.27	602106	693935
Peptoniphilaceae	1570339	16.209999999999994	568063	651339
Actinomycetaceae	2049	7.159999999999999	287503	287700
Mycobacteriaceae	1762	6.170000000000001	302772	247920
Staphylococcaceae	90964	6.010000000000001	259070	241493
Campylobacteraceae	72294	1.65	52212	66299
Propionibacteriaceae	31957	1.6499999999999997	64159	66300
Xanthobacteraceae	335928	1.6100000000000003	252827	64692
Alkalibacillaceae	186817	0.67	32291	26922
Flavobacteriaceae	49546	0.61	36323	24511
Enterococcaceae	81852	0.52	32555	20894
Negativicoccaceae	31977	0.37	9019	14867
Dermabacteraceae	85020	0.32999999999999996	14908	13259
Burkholderiaceae_B	80864	0.06	8623	2410
Porphyromonadaceae	171551	0.05	2289	2009
Burkholderiaceae	119060	0.05	4880	2009
Pseudomonadaceae	135621	0.03	3421	1205
Atopobiaceae	1643824	0.03	803	1205
Enterobacteriaceae	543	0.02	2104	804
Rhizobiaceae	82115	0.02	1483	804
Beijerinckiaceae	45404	0.02	2471	804
Bacteroidaceae	815	0.01	688	402
Peptococcaceae	186807	0.01	371	402
