Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Propionibacteriales	85009	9011.369999999999	68.78999999999999	23
Corynebacteriales	85007	1257.65	9.601	9852
Bacillales	1385	937.71	7.158000000000001	2232
Micrococcales	85006	929.74	7.0969999999999995	830
Rhodospirillales	204441	307.36	2.346	3337
Tissierellales	1737405	269.01	2.054	261
Lactobacillales	186826	116.75	0.8909999999999999	7
Burkholderiales	80840	110.78	0.8460000000000001	10
Tissierellia_u_o	1737404	81.32	0.621	1127
Actinomycetales	2037	78.11	0.596	98
