Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillus crispatus	47770	69.74	1261761	1323734
Imtechella halotolerans	1165090	12.14	283918	230429
Allobacillus halotolerans	570278	11.24	213937	213346
Corynebacterium kroppenstedtii	161879	2.07	38308	39291
Lactobacillus jensenii	109790	0.9899999999999999	12674	18791
Staphylococcus warneri	1292	0.44	8047	8352
Staphylococcus epidermidis	1282	0.33	5640	6264
Allobacillus salarius	1955272	0.32	6215	6074
Cutibacterium acnes	1747	0.25	4613	4745
Ralstonia pickettii_B	329	0.22999999999999998	8168	4366
Corynebacterium tuberculostearicum	38304	0.19	3539	3606
Corynebacterium tuberculostearicum_C	38304	0.18	3218	3417
Comamonas tsuruhatensis	80866	0.17	8751	3227
Bradyrhizobium sp003020075	2057741	0.17	9410	3227
Falseniella ignava	137730	0.16	2026	3037
Facklamia hominis	178214	0.12	1687	2278
Anaerococcus vaginimassiliensis	2042308	0.12	1502	2278
Staphylococcus hominis	1290	0.11	1701	2088
Cutibacterium avidum	33010	0.1	1743	1898
Veillonella atypica	39777	0.09	1379	1708
Winkia sp002849225	29318	0.08	1379	1518
Finegoldia magna_H	1260	0.07	936	1329
Pseudomonas_E antarctica_A	219572	0.06	2684	1139
Kocuria rosea	1275	0.06	1656	1139
Kocuria marina	223184	0.06	1364	1139
Aerococcus sp001813115	119206	0.05	812	949
Stenotrophomonas maltophilia_A	40324	0.05	1747	949
Methylobacterium thiocyanatum	223967	0.05	2115	949
Finegoldia magna	1260	0.05	687	949
Prevotella timonensis	386414	0.04	935	759
Peptoniphilus_A harei	54005	0.04	554	759
Agrobacterium oryzihabitans	357	0.03	1119	569
Corynebacterium pyruviciproducens	598660	0.03	536	569
Meiothermus_B silvanus	52022	0.03	659	569
Corynebacterium simulans	146827	0.02	505	380
Corynebacterium_u_s	1716	0.02	321	380
Actinobaculum massiliense	202789	0.02	337	380
Anaerococcus octavius	54007	0.02	315	380
Negativicoccus succinicivorans	620903	0.02	153	380
Phyllobacterium_u_s	28100	0.01	521	190
Varibaculum cambriense	184870	0.01	153	190
Lancefieldella rimae	1383	0.01	145	190
Peptoniphilus_A harei_A	54005	0.01	107	190
Peptoniphilus_A lacydonensis	1673725	0.01	121	190
