Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillales	186826	20.660000000000004	332121	397103
Flavobacteriales	200644	17.46	433940	335596
Actinomycetales	2037	16.560000000000006	297462	318298
Bacillales_D	1385	16.03	324125	308110
Tissierellales	1737405	11.649999999999999	171110	223924
Bacteroidales	171549	11.380000000000003	257067	218734
Propionibacteriales	85009	2.4099999999999997	40109	46323
Campylobacterales	213849	1.1900000000000002	15868	22873
Mycobacteriales	85010	1	19995	19221
Staphylococcales	1385	0.85	16783	16338
Veillonellales	1843489	0.30000000000000004	3592	5766
Peptococcales	186802	0.26	4129	4997
Fusobacteriales	203491	0.16999999999999998	3030	3267
Burkholderiales	80840	0.03	1005	577
Coriobacteriales	84999	0.03	521	577
Rhizobiales	356	0.02	930	384
Lachnospirales	186802	0.01	298	192
