Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Lactobacillus crispatus GCA_900452495.1	1579	GCA_900452495.1	Bacteria	69.65	0.89658	0.723112	1269744	1332960
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	Bacteria	12.12	0.999761	0.999761	285716	231952
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	Bacteria	11.23	0.661419	0.659632	215291	214920
s__Corynebacterium kroppenstedtii GCA_000023145.1	645127	GCA_000023145.1	Bacteria	2.07	0.165784	0.165784	38550	39616
s__Lactobacillus jensenii GCA_008726555.1	109790	GCA_008726555.1	Bacteria	0.9899999999999999	0.758862	0.030769	12755	18947
s__Staphylococcus warneri GCA_001019115.2	2201033	GCA_001019115.2	Bacteria	0.44	0.394764	0.358319	8098	8421
s__Staphylococcus epidermidis	1282		Bacteria	0.33	0.289103	0.156627	5675	6316
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	Bacteria	0.32	0.051889	0.014554	6254	6124
s__Cutibacterium acnes GCA_000145355.1	765084	GCA_000145355.1	Bacteria	0.25	0.177782	0.029549	4642	4784
s__Ralstonia pickettii_B GCA_000372665.1	1264675	GCA_000372665.1	Bacteria	0.22999999999999998	0.166752	0.166429	8220	4402
s__Corynebacterium tuberculostearicum GCA_000156615.2	525264	GCA_000156615.2	Bacteria	0.19	0.115704	0.071144	3562	3636
s__Corynebacterium tuberculostearicum_C GCA_000175635.1	553206	GCA_000175635.1	Bacteria	0.18	0.116152	0.068779	3239	3445
s__Bradyrhizobium sp003020075 GCA_003020075.1	2133945	GCA_003020075.1	Bacteria	0.17	0.116617	0.134921	9469	3253
Pseudoperonospora cubensis	143453	GCA_000252605.1	Protists	0.16	0.009832	0.009667	5379	3062
s__Falseniella ignava GCA_000301055.1	883112	GCA_000301055.1	Bacteria	0.16	0.115619	0.115622	2039	3062
s__Comamonas tsuruhatensis GCA_001017795.1	558537	GCA_001017795.1	Bacteria	0.13	0.103424	0.012599	6690	2488
s__Facklamia hominis GCA_000301035.1	883111	GCA_000301035.1	Bacteria	0.12	0.132604	0.071031	1698	2297
s__Anaerococcus vaginimassiliensis GCA_000191725.2	879305	GCA_000191725.2	Bacteria	0.12	0.180974	0.137904	1511	2297
s__Staphylococcus hominis GCA_000269685.1	1185421	GCA_000269685.1	Bacteria	0.11	0.103228	0.016438	1712	2105
s__Cutibacterium avidum GCA_000463645.1	1292372	GCA_000463645.1	Bacteria	0.1	0.064972	0.044591	1754	1914
s__Veillonella atypica GCA_001546845.1	39777	GCA_001546845.1	Bacteria	0.09	0.054371	0.014455	1388	1722
s__Winkia sp002849225 GCA_002872055.1	2069311	GCA_002872055.1	Bacteria	0.08	0.074486	0.049537	1388	1531
s__Finegoldia magna_H GCA_000582635.1	1459804	GCA_000582635.1	Bacteria	0.07	0.067434	0.030503	941	1340
s__Pseudomonas_E antarctica_A GCA_001647715.1	219572	GCA_001647715.1	Bacteria	0.06	0.018033	0.017155	2710	1148
s__Kocuria rosea	1275		Bacteria	0.06	0.054434	0.033163	1666	1148
s__Kocuria marina GCA_001665945.1	1834155	GCA_001665945.1	Bacteria	0.06	0.037024	0.016265	1372	1148
s__Aerococcus sp001813115 GCA_001807425.1	1581129	GCA_001807425.1	Bacteria	0.05	0.062301	0.070922	817	957
s__Methylobacterium thiocyanatum GCA_000019945.1	441620	GCA_000019945.1	Bacteria	0.05	0.029346	0.027989	2128	957
s__Finegoldia magna GCA_009678325.1	2584649	GCA_009678325.1	Bacteria	0.05	0.032733	0.01679	692	957
s__Prevotella timonensis GCA_000455445.1	1122992	GCA_000455445.1	Bacteria	0.04	0.020605	0.014373	941	766
s__Stenotrophomonas maltophilia_A	40324		Bacteria	0.04	0.011904	0.011602	1320	766
s__Peptoniphilus_A harei GCA_001815405.1	1739525	GCA_001815405.1	Bacteria	0.04	0.074793	0.070411	557	766
s__Agrobacterium oryzihabitans GCA_000219665.2	1050720	GCA_000219665.2	Bacteria	0.03	0.022544	0.021857	1126	574
s__Corynebacterium pyruviciproducens GCA_000411375.1	1125779	GCA_000411375.1	Bacteria	0.03	0.022524	0.022731	540	574
s__Meiothermus_B silvanus GCA_000092125.1	526227	GCA_000092125.1	Bacteria	0.03	0.011999	0.012021	663	574
Melampsora pinitorqua Mpini7	1298852	GCA_000464645.1	Fungi	0.02	0.001652	0.001468	408	383
s__Corynebacterium simulans GCA_001586215.1	146827	GCA_001586215.1	Bacteria	0.02	0.013016	0.01234	509	383
g__Corynebacterium	1716		Bacteria	0.02	0.019331	0.014007	323	383
s__Actinobaculum massiliense GCA_000315465.1	883066	GCA_000315465.1	Bacteria	0.02	0.029163	0.029216	339	383
s__Anaerococcus octavius GCA_002847745.1	54007	GCA_002847745.1	Bacteria	0.02	0.049453	0.049389	317	383
s__Negativicoccus succinicivorans GCA_000508525.1	1403945	GCA_000508525.1	Bacteria	0.02	0.012884	0.012884	154	383
Malassezia globosa CBS 7966	425265	GCA_000181695.1	Fungi	0.01	0.001939	0.001939	447	191
g__Phyllobacterium	28100		Bacteria	0.01	0.057203	0.057203	524	191
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	Bacteria	0.01	0.014077	0.013742	154	191
s__Lancefieldella rimae	1383		Bacteria	0.01	0.010549	0.010413	146	191
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	Bacteria	0.01	0.020984	0.014002	108	191
s__Peptoniphilus_A lacydonensis GCA_900106515.1	1673725	GCA_900106515.1	Bacteria	0.01	0.025658	0.017524	122	191
