Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bacteroidia	200643	32.629999999999995	631211	519618
Actinomycetia	1760	31.389999999999997	432587	499875
Bacilli	91061	24.54	387337	390788
Clostridia	186801	10.869999999999997	134166	173099
Campylobacteria	29547	0.31000000000000005	3408	4936
Negativicutes	909932	0.24000000000000002	1919	3822
Peptococcia	186801	0.03	325	478
Coriobacteriia	84998	0.02	207	318
Gammaproteobacteria	1236	0.02	678	318
Alphaproteobacteria	28211	0.01	621	159
