Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Moraxellaceae	468	9495.179999999998	22.223000000000003	52380
Corynebacteriaceae	1653	8610.710000000001	20.153000000000002	40178
Propionibacteriaceae	31957	6970.379999999999	16.313	321
Micrococcaceae	1268	6029.65	14.111	13101
Staphylococcaceae	90964	5463.05	12.786999999999999	14113
Rhodospirillales_u_f	204441	1390.22	3.254	15857
Lactobacillaceae	33958	880.06	2.059	2992
Microbacteriaceae	85023	636.62	1.49	2959
Paenibacillaceae	186822	549.44	1.286	4988
Rhodobacteraceae	31989	366.28	0.858	6026
Aeromonadaceae	84642	361.39	0.8460000000000001	24
Streptococcaceae	1300	356.57	0.835	12
Peptoniphilaceae	1570339	263.57	0.617	232
Aerococcaceae	186827	182.26	0.42700000000000005	391
Enterobacteriaceae	543	170.08	0.398	19
Dermabacteraceae	85020	151.98	0.356	3226
Veillonellaceae	31977	140.65	0.329	20
Porphyromonadaceae	171551	133.48	0.312	2794
Yersiniaceae	1903411	131.69	0.308	3081
Actinomycetaceae	2049	106.41	0.249	2510
Neisseriaceae	481	95.38	0.22300000000000003	70
Xanthomonadaceae	32033	87.98	0.20600000000000002	99
Pseudomonadaceae	135621	79.44	0.186	841
Caulobacteraceae	76892	76.49	0.179	35
