GO ID	GO Category	GO Description	Copies per Million (CPM)	Relative Abundance
GO:0016021	Cellular_Components	integral component of membrane	132649	13.309910691334913
GO:0005524	Molecular_Functions	ATP binding	53529.8	5.3711438256226565
GO:0005737	Cellular_Components	cytoplasm	40133.7	4.0269882374750505
GO:0003677	Molecular_Functions	DNA binding	38363.9	3.849407705834975
GO:0005886	Cellular_Components	plasma membrane	23919.4	2.4000563727605666
GO:0055085	Biological_Processes	transmembrane transport	19557.4	1.9623762512699945
GO:0005975	Biological_Processes	carbohydrate metabolic process	16683.8	1.6740411762779475
GO:0006412	Biological_Processes	translation	16271.5	1.632671273918809
GO:0046872	Molecular_Functions	metal ion binding	15078.3	1.5129463952020388
GO:0003735	Molecular_Functions	structural constituent of ribosome	14533.6	1.4582915666426821
GO:0006355	Biological_Processes	regulation of transcription, DNA-templated	13434.7	1.348028685967306
GO:0005840	Cellular_Components	ribosome	11473.4	1.1512331742113548
GO:0016787	Molecular_Functions	hydrolase activity	10950.5	1.0987657428662334
GO:0016740	Molecular_Functions	transferase activity	10144.6	1.0179022834647544
GO:0019843	Molecular_Functions	rRNA binding	8770.64	0.8800400689477467
GO:0003700	Molecular_Functions	DNA-binding transcription factor activity	8277.14	0.8305226136621902
GO:0016887	Molecular_Functions	ATPase activity	7821.64	0.7848180526032826
GO:0000287	Molecular_Functions	magnesium ion binding	7607.19	0.7633002850531557
GO:0022857	Molecular_Functions	transmembrane transporter activity	7359.3	0.7384271705835781
GO:0003723	Molecular_Functions	RNA binding	7165.68	0.7189994711055853
GO:0008270	Molecular_Functions	zinc ion binding	6667.11	0.6689732954587363
GO:0016301	Molecular_Functions	kinase activity	6147.22	0.6168078854720942
GO:0003676	Molecular_Functions	nucleic acid binding	6011.05	0.6031446800288638
GO:0004553	Molecular_Functions	hydrolase activity, hydrolyzing O-glycosyl compounds	5502.95	0.5521622706457001
GO:0043565	Molecular_Functions	sequence-specific DNA binding	5407.09	0.5425437432623699
GO:0051301	Biological_Processes	cell division	5059.97	0.5077139578951514
GO:0006281	Biological_Processes	DNA repair	4711.36	0.47273466693851945
GO:0003824	Molecular_Functions	catalytic activity	4695.86	0.47117940745133374
GO:0005525	Molecular_Functions	GTP binding	4673.09	0.46889468109499716
GO:0030170	Molecular_Functions	pyridoxal phosphate binding	4433.8	0.4448844847925032
GO:0006260	Biological_Processes	DNA replication	4224.95	0.4239286174441982
GO:0000049	Molecular_Functions	tRNA binding	4134.35	0.41483787489329366
GO:0009401	Biological_Processes	phosphoenolpyruvate-dependent sugar phosphotransferase system	4034.72	0.40484106826695115
GO:0000160	Biological_Processes	phosphorelay signal transduction system	3875.26	0.3888409600200721
GO:0016491	Molecular_Functions	oxidoreductase activity	3706.2	0.3718775942843554
GO:0006310	Biological_Processes	DNA recombination	3395.39	0.34069112969002147
GO:0042626	Molecular_Functions	ATPase-coupled transmembrane transporter activity	3214.07	0.3224976038696018
GO:0007049	Biological_Processes	cell cycle	3164.07	0.3174806377819061
GO:0043190	Cellular_Components	ATP-binding cassette (ABC) transporter complex	2981.65	0.2991767387075572
GO:0003924	Molecular_Functions	GTPase activity	2978.83	0.29889378182021115
GO:0005887	Cellular_Components	integral component of plasma membrane	2893.63	0.2903448716067777
GO:0000166	Molecular_Functions	nucleotide binding	2884.8	0.28945887539569065
GO:0008152	Biological_Processes	metabolic process	2850.08	0.2859750941443947
GO:0071555	Biological_Processes	cell wall organization	2839.36	0.2848994566151928
GO:0016853	Molecular_Functions	isomerase activity	2680.05	0.2689143992665768
GO:0004386	Molecular_Functions	helicase activity	2568.4	0.2577115139927523
GO:0009252	Biological_Processes	peptidoglycan biosynthetic process	2561.27	0.25699609462864687
GO:0051539	Molecular_Functions	4 iron, 4 sulfur cluster binding	2514.38	0.25229118383160587
GO:0008643	Biological_Processes	carbohydrate transport	2508.54	0.251705202192563
GO:0008360	Biological_Processes	regulation of cell shape	2502.84	0.25113326805856573
GO:0016757	Molecular_Functions	transferase activity, transferring glycosyl groups	2501.91	0.25103995248933453
GO:0016020	Cellular_Components	membrane	2464.17	0.24725314648634186
GO:0008982	Molecular_Functions	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	2409.51	0.2417685991592729
GO:0005576	Cellular_Components	extracellular region	2295.13	0.23029178753706026
GO:0004252	Molecular_Functions	serine-type endopeptidase activity	2255.54	0.2263193537888228
GO:0004519	Molecular_Functions	endonuclease activity	2225.52	0.2233071673497703
GO:0000155	Molecular_Functions	phosphorelay sensor kinase activity	2147.85	0.2155138122291438
GO:0006541	Biological_Processes	glutamine metabolic process	2136.88	0.2144130898695034
GO:0030246	Molecular_Functions	carbohydrate binding	2110.92	0.2118082810767718
GO:0015934	Cellular_Components	large ribosomal subunit	2099.75	0.21068749085278055
GO:0006096	Biological_Processes	glycolytic process	2042.99	0.2049922309500284
GO:0009058	Biological_Processes	biosynthetic process	1973.73	0.19804272952535235
GO:0006457	Biological_Processes	protein folding	1926.35	0.1932886524606519
GO:0003887	Molecular_Functions	DNA-directed DNA polymerase activity	1913.93	0.1920424380844683
GO:0008233	Molecular_Functions	peptidase activity	1900.76	0.19072096921696924
GO:0015074	Biological_Processes	DNA integration	1858.98	0.18652879235409073
GO:0050661	Molecular_Functions	NADP binding	1814.76	0.18209178754613264
GO:0046933	Molecular_Functions	proton-transporting ATP synthase activity, rotational mechanism	1792.98	0.17990639711833242
GO:0016829	Molecular_Functions	lyase activity	1744.41	0.17503291626074483
GO:0050660	Molecular_Functions	flavin adenine dinucleotide binding	1743.02	0.1748934446035069
GO:0015935	Cellular_Components	small ribosomal subunit	1737.52	0.17434157833386035
GO:0008483	Molecular_Functions	transaminase activity	1726.5	0.17323583900813222
GO:0009432	Biological_Processes	SOS response	1656.17	0.16617897450917948
GO:0003746	Molecular_Functions	translation elongation factor activity	1649.66	0.1655257655245615
GO:0051287	Molecular_Functions	NAD binding	1617.09	0.1622577138150365
GO:0015986	Biological_Processes	ATP synthesis coupled proton transport	1555.12	0.15603968604594648
GO:0008168	Molecular_Functions	methyltransferase activity	1544.11	0.15493495011343586
GO:0044205	Biological_Processes	'de novo' UMP biosynthetic process	1520.79	0.15259503713013461
GO:0009228	Biological_Processes	thiamine biosynthetic process	1486.48	0.14915239500075783
GO:0004222	Molecular_Functions	metalloendopeptidase activity	1446.59	0.14514985945599418
GO:0003899	Molecular_Functions	DNA-directed 5'-3' RNA polymerase activity	1443.65	0.1448548618500377
GO:0006364	Biological_Processes	rRNA processing	1424.26	0.14290928240122933
GO:0046983	Molecular_Functions	protein dimerization activity	1406.97	0.14117441552810414
GO:0006351	Biological_Processes	transcription, DNA-templated	1393.88	0.1398609738063454
GO:0010181	Molecular_Functions	FMN binding	1309.62	0.13140638255536063
GO:0006265	Biological_Processes	DNA topological change	1277.5	0.12818348354062492
GO:0016114	Biological_Processes	terpenoid biosynthetic process	1246.6	0.12508299849842897
GO:0000105	Biological_Processes	histidine biosynthetic process	1240.36	0.12445688113068454
GO:0097367	Molecular_Functions	carbohydrate derivative binding	1237.6	0.12417994460264374
GO:0009229	Biological_Processes	thiamine diphosphate biosynthetic process	1215.94	0.12200659489345399
GO:0006865	Biological_Processes	amino acid transport	1213.59	0.12177079748733226
GO:0008654	Biological_Processes	phospholipid biosynthetic process	1207.8	0.12118983281437712
GO:0005618	Cellular_Components	cell wall	1199.47	0.12035400626416702
GO:0006353	Biological_Processes	DNA-templated transcription, termination	1187.63	0.1191659886946007
GO:0006284	Biological_Processes	base-excision repair	1176.11	0.11801007970799557
GO:0045892	Biological_Processes	negative regulation of transcription, DNA-templated	1173.39	0.11773715675282496
GO:0009089	Biological_Processes	lysine biosynthetic process via diaminopimelate	1172.04	0.11760169866845716
GO:0071705	Biological_Processes	nitrogen compound transport	1164.77	0.11687223179930621
GO:0004177	Molecular_Functions	aminopeptidase activity	1136.79	0.1140647375766317
GO:0003684	Molecular_Functions	damaged DNA binding	1128.78	0.11326101960938285
GO:0006207	Biological_Processes	'de novo' pyrimidine nucleobase biosynthetic process	1123.56	0.11273724834982742
GO:0006396	Biological_Processes	RNA processing	1121.43	0.1125235255944916
GO:0006520	Biological_Processes	cellular amino acid metabolic process	1117.38	0.11211715134138824
GO:0016874	Molecular_Functions	ligase activity	1108.09	0.11118499904229436
GO:0030976	Molecular_Functions	thiamine pyrophosphate binding	1097.64	0.11013645312996599
GO:0016779	Molecular_Functions	nucleotidyltransferase activity	1093.61	0.1097320856632977
GO:0005623	Cellular_Components	cell	1082.68	0.10863537687652743
GO:0004565	Molecular_Functions	beta-galactosidase activity	1068.93	0.10725571120241112
GO:0006526	Biological_Processes	arginine biosynthetic process	1066.76	0.10703797487420512
GO:0008658	Molecular_Functions	penicillin binding	1065.12	0.1068734183865287
GO:0009116	Biological_Processes	nucleoside metabolic process	1038.48	0.10420037885500444
GO:0015293	Molecular_Functions	symporter activity	1022.6	0.10260699042555228
GO:0006261	Biological_Processes	DNA-dependent DNA replication	1016.08	0.10195277804771676
GO:0045261	Cellular_Components	proton-transporting ATP synthase complex, catalytic core F(1)	1004.87	0.10082797425085539
GO:0003697	Molecular_Functions	single-stranded DNA binding	1000.76	0.1004155796384468
GO:0006099	Biological_Processes	tricarboxylic acid cycle	999.912	0.10033049189359948
GO:0019288	Biological_Processes	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	986.062	0.09894079228730777
GO:0046654	Biological_Processes	tetrahydrofolate biosynthetic process	980.576	0.0983903307681658
GO:0006094	Biological_Processes	gluconeogenesis	960.407	0.09636658698771113
GO:0051082	Molecular_Functions	unfolded protein binding	958.597	0.09618497281533653
GO:0031564	Biological_Processes	transcription antitermination	954.353	0.09575913273381292
GO:0016805	Molecular_Functions	dipeptidase activity	942.876	0.09460753833804325
GO:0015297	Molecular_Functions	antiporter activity	942.452	0.0945649944656196
GO:0003743	Molecular_Functions	translation initiation factor activity	933.466	0.09366334532033893
GO:0016747	Molecular_Functions	transferase activity, transferring acyl groups other than amino-acyl groups	926.305	0.09294481543725915
GO:0015408	Molecular_Functions	ATPase-coupled ferric iron transmembrane transporter activity	925.354	0.09284939274227118
GO:0003918	Molecular_Functions	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	919.8	0.09229210814924993
GO:0103111	Molecular_Functions	D-glucosamine PTS permease activity	915.65	0.09187569996397119
GO:0004672	Molecular_Functions	protein kinase activity	911.614	0.09147073046137241
GO:0015103	Molecular_Functions	inorganic anion transmembrane transporter activity	906.828	0.09099050646745817
GO:0016746	Molecular_Functions	transferase activity, transferring acyl groups	870.097	0.08730494284011515
GO:0006189	Biological_Processes	'de novo' IMP biosynthetic process	867.734	0.08706784102281066
GO:0005506	Molecular_Functions	iron ion binding	861.944	0.0864868763498555
GO:0006098	Biological_Processes	pentose-phosphate shunt	861.49	0.08644132229777922
GO:0006012	Biological_Processes	galactose metabolic process	854.18	0.08570784185575811
GO:0009073	Biological_Processes	aromatic amino acid family biosynthetic process	851.354	0.08542428293248155
GO:0015937	Biological_Processes	coenzyme A biosynthetic process	848.434	0.08513129211296012
GO:0005694	Cellular_Components	chromosome	847.278	0.0850152998570126
GO:0008408	Molecular_Functions	3'-5' exonuclease activity	843.51	0.08463722129264385
GO:0015424	Molecular_Functions	ATPase-coupled amino acid transmembrane transporter activity	843.224	0.08460852424662224
GO:0005634	Cellular_Components	nucleus	837.278	0.08401190663947346
GO:0006044	Biological_Processes	N-acetylglucosamine metabolic process	836.481	0.0839319362000356
GO:0102483	Molecular_Functions	scopolin beta-glucosidase activity	833.058	0.08358847470167195
GO:0008422	Molecular_Functions	beta-glucosidase activity	822.429	0.08252196805074959
GO:0008984	Molecular_Functions	protein-glutamate methylesterase activity	813.629	0.08163898201931515
GO:0043022	Molecular_Functions	ribosome binding	807.005	0.08097433435201723
GO:0008324	Molecular_Functions	cation transmembrane transporter activity	804.774	0.08075047732518424
GO:0005829	Cellular_Components	cytosol	797.592	0.08002984031634765
GO:0008236	Molecular_Functions	serine-type peptidase activity	797.289	0.0799994375018562
GO:0050662	Molecular_Functions	coenzyme binding	789.691	0.07923705933516997
GO:0004197	Molecular_Functions	cysteine-type endopeptidase activity	788.064	0.07907380725867634
GO:0007059	Biological_Processes	chromosome segregation	782.671	0.07853267729645749
GO:0008033	Biological_Processes	tRNA processing	775.713	0.07783451629569375
GO:0052692	Molecular_Functions	raffinose alpha-galactosidase activity	768.73	0.07713384681188618
GO:0008965	Molecular_Functions	phosphoenolpyruvate-protein phosphotransferase activity	766.223	0.0768822961322491
GO:0016773	Molecular_Functions	phosphotransferase activity, alcohol group as acceptor	762.695	0.07652829900510132
GO:0008810	Molecular_Functions	cellulase activity	757.559	0.07601295624857321
GO:0006166	Biological_Processes	purine ribonucleoside salvage	753.491	0.07560477588767829
GO:0003755	Molecular_Functions	peptidyl-prolyl cis-trans isomerase activity	747.726	0.07502631969776696
GO:0009055	Molecular_Functions	electron transfer activity	736.969	0.07394696961366012
GO:0009423	Biological_Processes	chorismate biosynthetic process	729.8	0.0732276370160063
GO:0033925	Molecular_Functions	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity	725.029	0.07274891811191839
GO:0009098	Biological_Processes	leucine biosynthetic process	716.975	0.07194078521451237
GO:0001522	Biological_Processes	pseudouridine synthesis	715.793	0.07182218413619924
GO:0050567	Molecular_Functions	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	715.511	0.07179388844746463
GO:0009086	Biological_Processes	methionine biosynthetic process	710.722	0.07131336343558514
GO:0009982	Molecular_Functions	pseudouridine synthase activity	709.418	0.07118252096001805
GO:0045263	Cellular_Components	proton-transporting ATP synthase complex, coupling factor F(o)	709.262	0.07116686802582442
GO:0047429	Molecular_Functions	nucleoside-triphosphate diphosphatase activity	708.375	0.07107786704742872
GO:0015430	Molecular_Functions	ATPase-coupled glycerol-3-phosphate transmembrane transporter activity	705.279	0.07076721650727859
GO:0009341	Cellular_Components	beta-galactosidase complex	704.835	0.07072266584841985
GO:0045454	Biological_Processes	cell redox homeostasis	703.958	0.07063466826324166
GO:0002161	Molecular_Functions	aminoacyl-tRNA editing activity	703.478	0.07058650538879979
GO:0006629	Biological_Processes	lipid metabolic process	697.293	0.06996590668375183
GO:0009097	Biological_Processes	isoleucine biosynthetic process	691.715	0.06940621394700851
GO:0004725	Molecular_Functions	protein tyrosine phosphatase activity	691.432	0.06937781791895214
GO:0019262	Biological_Processes	N-acetylneuraminate catabolic process	684.496	0.068681864383267
GO:0016407	Molecular_Functions	acetyltransferase activity	677.986	0.06802865539864901
GO:0003951	Molecular_Functions	NAD+ kinase activity	677.463	0.06797617793337173
GO:0045493	Biological_Processes	xylan catabolic process	677.393	0.06796915418084895
GO:0030001	Biological_Processes	metal ion transport	676.698	0.06789941835222998
GO:0042254	Biological_Processes	ribosome biogenesis	668.194	0.0670461327600347
GO:0009253	Biological_Processes	peptidoglycan catabolic process	667.261	0.06695251617283829
GO:0003796	Molecular_Functions	lysozyme activity	665.543	0.06678013321806507
GO:0016998	Biological_Processes	cell wall macromolecule catabolic process	665.543	0.06678013321806507
GO:0002949	Biological_Processes	tRNA threonylcarbamoyladenosine modification	661.86	0.06641058349604541
GO:0015299	Molecular_Functions	solute:proton antiporter activity	658.846	0.0661081607802791
GO:0006614	Biological_Processes	SRP-dependent cotranslational protein targeting to membrane	656.19	0.06584165954170072
GO:0005315	Molecular_Functions	inorganic phosphate transmembrane transporter activity	654.675	0.06568964546924352
GO:0035999	Biological_Processes	tetrahydrofolate interconversion	653.784	0.0656002431335608
GO:0015969	Biological_Processes	guanosine tetraphosphate metabolic process	651.166	0.06533755478920907
GO:0004518	Molecular_Functions	nuclease activity	646.992	0.06491873846020821
GO:0006400	Biological_Processes	tRNA modification	645.056	0.06472448153329265
GO:1990077	Cellular_Components	primosome complex	632.18	0.06343251242638924
GO:0016149	Molecular_Functions	translation release factor activity, codon specific	617.259	0.0619353494064991
GO:0043093	Biological_Processes	FtsZ-dependent cytokinesis	611.477	0.061355187448117965
GO:0006633	Biological_Processes	fatty acid biosynthetic process	607.136	0.060919614452384224
GO:0000015	Cellular_Components	phosphopyruvate hydratase complex	607.019	0.06090787475173902
GO:0004634	Molecular_Functions	phosphopyruvate hydratase activity	607.019	0.06090787475173902
GO:0000917	Biological_Processes	division septum assembly	603.293	0.060534010438883935
GO:0015833	Biological_Processes	peptide transport	601.274	0.06033142534826279
GO:0009088	Biological_Processes	threonine biosynthetic process	599.727	0.06017620041750948
GO:0004970	Molecular_Functions	ionotropic glutamate receptor activity	597.615	0.05996428376996521
GO:0008484	Molecular_Functions	sulfuric ester hydrolase activity	595.98	0.059800228978897564
GO:0044209	Biological_Processes	AMP salvage	594.708	0.059672597361626584
GO:0015035	Molecular_Functions	protein disulfide oxidoreductase activity	594.455	0.05964721151322285
GO:0009378	Molecular_Functions	four-way junction helicase activity	593.619	0.059563327840236574
GO:0006289	Biological_Processes	nucleotide-excision repair	583.112	0.0585090625865682
GO:0010498	Biological_Processes	proteasomal protein catabolic process	581.751	0.05837250076966113
GO:0006270	Biological_Processes	DNA replication initiation	577.568	0.0579527813867645
GO:0006605	Biological_Processes	protein targeting	576.752	0.0578709045002133
GO:0004040	Molecular_Functions	amidase activity	572.862	0.057480584538590576
GO:0019941	Biological_Processes	modification-dependent protein catabolic process	571.501	0.0573440227216835
GO:0046873	Molecular_Functions	metal ion transmembrane transporter activity	571.125	0.05730629513670403
GO:0008299	Biological_Processes	isoprenoid biosynthetic process	564.407	0.05663221557316125
GO:0005215	Molecular_Functions	transporter activity	562.835	0.05647448215936409
GO:0004088	Molecular_Functions	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	562.229	0.05641367653038122
GO:0015407	Molecular_Functions	ATPase-coupled monosaccharide transmembrane transporter activity	561.962	0.056386885931472924
GO:0030145	Molecular_Functions	manganese ion binding	559.314	0.05612118740746855
GO:0004674	Molecular_Functions	protein serine/threonine kinase activity	559.02	0.056091687646872904
GO:0009234	Biological_Processes	menaquinone biosynthetic process	558.741	0.056063692976103564
GO:0048037	Molecular_Functions	cofactor binding	558.329	0.05602235317554095
GO:1901135	Biological_Processes	carbohydrate derivative metabolic process	553.737	0.055561595010046975
GO:0071949	Molecular_Functions	FAD binding	553.209	0.055508615848160914
GO:0008745	Molecular_Functions	N-acetylmuramoyl-L-alanine amidase activity	552.091	0.05539643648644004
GO:0008774	Molecular_Functions	acetaldehyde dehydrogenase (acetylating) activity	550.023	0.05518893476905294
GO:0070180	Molecular_Functions	large ribosomal subunit rRNA binding	549.032	0.05508949850119482
GO:0065002	Biological_Processes	intracellular protein transmembrane transport	537.169	0.05389917312722814
GO:0047631	Molecular_Functions	ADP-ribose diphosphatase activity	531.529	0.053333259352536064
GO:0032784	Biological_Processes	regulation of DNA-templated transcription, elongation	531.326	0.05331289047022002
GO:0042274	Biological_Processes	ribosomal small subunit biogenesis	528.744	0.05305381434145142
GO:0009231	Biological_Processes	riboflavin biosynthetic process	524.922	0.052670317453707954
GO:0009435	Biological_Processes	NAD biosynthetic process	524.731	0.05265115264325295
GO:0003908	Molecular_Functions	methylated-DNA-protein-cysteine S-methyltransferase activity	523.555	0.05253315360087035
GO:0008173	Molecular_Functions	RNA methyltransferase activity	520.471	0.05222370713258128
GO:0009986	Cellular_Components	cell surface	518.508	0.05202674104397836
GO:0008870	Molecular_Functions	galactoside O-acetyltransferase activity	517.461	0.051921685774102
GO:0043365	Molecular_Functions	formate-C-acetyltransferase-activating enzyme activity	514.664	0.0516410366911563
GO:0019877	Biological_Processes	diaminopimelate biosynthetic process	514.181	0.05159257279874917
GO:0004339	Molecular_Functions	glucan 1,4-alpha-glucosidase activity	505.797	0.050751327925164354
GO:0016075	Biological_Processes	rRNA catabolic process	504.443	0.05061546848350955
GO:0016798	Molecular_Functions	hydrolase activity, acting on glycosyl bonds	503.425	0.05051332305396407
GO:0009165	Biological_Processes	nucleotide biosynthetic process	503.39	0.05050981117770268
GO:0051536	Molecular_Functions	iron-sulfur cluster binding	501.856	0.05035589065813218
GO:0042586	Molecular_Functions	peptide deformylase activity	500.844	0.05025434726451722
GO:0000271	Biological_Processes	polysaccharide biosynthetic process	500.246	0.050194344350108375
GO:0015417	Molecular_Functions	ATPase-coupled polyamine transmembrane transporter activity	500.099	0.05017959446981055
GO:0004749	Molecular_Functions	ribose phosphate diphosphokinase activity	497.344	0.04990315963837852
GO:0004527	Molecular_Functions	exonuclease activity	496.517	0.04982017901928803
GO:0004497	Molecular_Functions	monooxygenase activity	495.63	0.04973117804089231
