Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus phage StB20	1147043	28826.99	34.272999999999996	0.561851	0.568455	226089
Staphylococcus phage 6ec	1500386	13220.15	15.717999999999998	0.336223	0.492085	121828
Staphylococcus phage CNPH82	398839	11243.8	13.367999999999999	0.259308	0.313297	41982
Staphylococcus phage vB_SepS_SEP9	1434319	9055.98	10.767	0.194139	0.404501	107821
Staphylococcus phage Ipla5	1197952	7724.52	9.184000000000001	0.184176	0.275591	27386
Staphylococcus phage Ipla7	1197953	6914.84	8.221	0.213438	0.282177	17800
Staphylococcus phage PH15	399185	5128.65	6.097	0.098429	0.248128	16387
Staphylococcus phage StB27	1147044	722.21	0.859	0.041582	0.038533	6886
Staphylococcus phage 80alpha	53369	288.81	0.34299999999999997	0.040698	0.042955	21
Staphylococcus phage StB12	1147042	262.48	0.312	0.025457	0.024506	2239
Human papillomavirus type 5	333923	255.4	0.304	0.014222	0.014222	680
Brochothrix phage BL3	764562	210.61	0.25	0.030838	0.030398	758
Propionibacterium phage P105	1229788	95.27	0.11299999999999999	0.011393	0.019772	40
unclassified Siphoviridae	196894	92.03	0.109	0.037952	0.019158	86
Viruses	10239	69.26	0.082	0.011044	0.011044	35
