Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Flavobacteriales	200644	23.47	471993	373750
Bacillales_D	1385	21.38	349727	340467
Propionibacteriales	85009	17.529999999999998	231744	279158
Actinomycetales	2037	10.739999999999998	152292	171031
Tissierellales	1737405	10.549999999999997	128519	168003
Bacteroidales	171549	9.159999999999998	159218	145868
Mycobacteriales	85010	3.1199999999999997	48551	49686
Lactobacillales	186826	2.9899999999999998	34787	47614
Campylobacterales	213849	0.31000000000000005	3408	4936
Lachnospirales	186802	0.26	4367	4140
Veillonellales	1843489	0.24000000000000002	1919	3822
Staphylococcales	1385	0.17	2823	2707
Oscillospirales	186802	0.06	1280	956
Peptococcales	186802	0.03	325	478
Coriobacteriales	84999	0.02	207	318
Burkholderiales	80840	0.02	678	318
Rhizobiales	356	0.01	621	159
