Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Acinetobacter	469	16491.23	26.125	22169
Pseudomonas	286	16075.239999999998	25.466000000000005	332280
Aerococcus	1375	8900.48	14.1	117132
Micrococcus	1269	6828.52	10.818	8341
Staphylococcus	1279	4776.52	7.567	10879
Corynebacterium	1716	3998.36	6.3340000000000005	32805
Aeromonas	642	1520.94	2.409	1579
Jeotgalicoccus	227979	1146.87	1.8170000000000002	19396
Enterococcus	1350	379.95	0.602	31
Streptococcus	1301	346.16	0.548	494
Propionibacteriaceae_u_g	31957	301.79	0.47800000000000004	52
Empedobacter	59734	250.68	0.39699999999999996	4909
Rothia	32207	247.04	0.391	994
Anaerococcus	165779	233.4	0.369	61
Comamonas	283	177.38	0.281	1936
Peptoniphilus	162289	160.82999999999998	0.255	1005
Veillonella	29465	132.57	0.21	126
Actinomyces	1654	123.68	0.196	2563
Kocuria	57493	113.88	0.18	1095
Brevibacterium	1696	105.22	0.167	2530
Klebsiella	570	100.75	0.16	341
Leclercia	83654	96.93	0.154	2437
Finegoldia	150022	95.86	0.152	890
Halomonas	2745	94	0.149	16
Clostridium	1485	90.33	0.14300000000000002	317
Brevundimonas	41275	88.1	0.13999999999999999	26
Shewanella	22	85.97	0.136	919
Exiguobacterium	33986	82.23	0.13	931
Neisseria	482	79.68	0.126	32
