Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus phage StB20	1147043	25674.72	66.737	0.295656	0.28892	227616
Staphylococcus phage CNPH82	398839	4146.51	10.778	0.087945	0.120117	17593
Staphylococcus phage Ipla5	1197952	2954.37	7.678999999999999	0.041006	0.08353	14959
Staphylococcus phage 80alpha	53369	1491.68	3.877	0.040698	0.0548	197
Staphylococcus phage PH15	399185	1313.76	3.415	0.052446	0.062563	6675
Staphylococcus phage Ipla7	1197953	1172.21	3.047	0.036032	0.061553	5712
Propionibacterium phage PA6	376758	247.55	0.643	0.012769	0.03695	113
Human immunodeficiency virus 1	11676	227.12	0.59	0.033088	0.033088	186
Staphylococcus phage 6ec	1500386	197.63	0.514	0.021207	0.032077	882
Propionibacterium phage P104A	1229787	171.63	0.44600000000000006	0.011604	0.030169	62
Propionibacterium phage PHL111M01	1235653	169.27	0.44	0.011988	0.031192	57
Propionibacterium phage P9.1	1229782	153.75	0.4	0.011259	0.027924	48
Propionibacterium phage PHL067M10	1235649	131.6	0.34199999999999997	0.011759	0.023054	79
Propionibacterium phage PAD20	504501	112.37	0.292	0.010049	0.021096	48
Equine infectious anemia virus	11665	110.57	0.28700000000000003	0.018813	0.018813	167
Staphylococcus phage vB_SepS_SEP9	1434319	100.89	0.262	0.011508	0.026035	544
Propionibacterium phage ATCC29399B_C	1229794	95.59	0.248	0.021726	0.017606	60
