Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus phage StB20	1147043	34741.5	23.951	0.375071	0.366859	301900
Propionibacterium phage P105	1229788	26385.46	18.19	0.218456	0.313826	35150
Propionibacterium phage PHL113M01	1235655	17479.08	12.049999999999999	0.112564	0.219005	15108
Propionibacterium phage PHL111M01	1235653	8760.37	6.039	0.061054	0.204931	8750
Propionibacterium phage P1.1	1229792	5642.43	3.8899999999999997	0.036379	0.100626	3893
Propionibacterium phage PHL060L00	1235647	5182.81	3.573	0.033436	0.090143	3336
Propionibacterium phage PAD20	504501	4607.68	3.177	0.032208	0.07189	4760
Propionibacterium phage P14.4	1229784	4150	2.861	0.015486	0.071452	2333
Propionibacterium phage PHL067M10	1235649	4071.05	2.807	0.025051	0.077952	2580
Propionibacterium phage P101A	1229786	3950.42	2.723	0.021379	0.072841	1841
Propionibacterium phage P100D	1229789	3635.33	2.506	0.013054	0.086965	1102
Propionibacterium phage P104A	1229787	3558.49	2.453	0.028313	0.086752	2601
Propionibacterium phage P100_1	1229791	3414.02	2.3539999999999996	0.014103	0.059694	2064
Propionibacterium phage PHL071N05	1235650	3227.54	2.225	0.024958	0.074055	2418
Propionibacterium phage P9.1	1229782	3109.63	2.144	0.016455	0.06762	1451
Propionibacterium phage PHL112N00	1235654	2420.82	1.669	0.020447	0.067882	1439
Propionibacterium phage PA6	376758	2297.79	1.584	0.019529	0.074544	1211
Propionibacterium phage ATCC29399B_C	1229794	1614.39	1.113	0.044072	0.058345	786
Propionibacterium phage P100_A	1229790	1157.16	0.7979999999999999	0.010218	0.027184	2106
Human polyomavirus 6	746830	1091.88	0.753	0.172399	0.172399	437
Staphylococcus phage Ipla5	1197952	992.19	0.6839999999999999	0.045068	0.042737	6407
Staphylococcus phage CNPH82	398839	624.04	0.43	0.036325	0.035939	3137
Staphylococcus phage PH15	399185	543.03	0.374	0.015546	0.019189	3589
Staphylococcus phage Ipla7	1197953	543.03	0.374	0.019288	0.019258	3452
Staphylococcus phage StB27	1147044	464.67	0.32	0.030327	0.027441	4521
Lactobacillus phage phiadh	12417	385.77	0.266	0.049029	0.049029	1568
Human immunodeficiency virus 1	11676	282.33	0.19499999999999998	0.046569	0.046569	177
Lactobacillus phage phi jlb1	1416334	276.63	0.191	0.038476	0.040069	543
Staphylococcus phage 80alpha	53369	185.05	0.128	0.040698	0.039089	7
Lactobacillus prophage Lj771	139871	148.92	0.10300000000000001	0.018104	0.022083	446
Equine infectious anemia virus	11665	109.18	0.075	0.014472	0.014472	234
