Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus phage StB20	1147043	2408.35	19.323	0.196034	0.195596	12145
Propionibacterium phage P100D	1229789	670.74	5.382	0.024476	0.085067	188
Propionibacterium phage PHL113M01	1235655	596.8	4.788	0.026435	0.080568	162
Propionibacterium phage P1.1	1229792	595.08	4.775	0.013463	0.0771	123
Propionibacterium phage P9.1	1229782	583.37	4.681	0.028868	0.076578	186
Propionibacterium phage PA6	376758	562.65	4.514	0.023035	0.072694	181
Propionibacterium phage P104A	1229787	545.95	4.38	0.032258	0.075438	229
Propionibacterium phage P101A	1229786	541.31	4.343	0.016587	0.085388	134
Propionibacterium phage PHL060L00	1235647	536.64	4.306	0.01319	0.081935	104
Propionibacterium phage PHL111M01	1235653	508.85	4.083	0.016448	0.0713	125
Propionibacterium phage PHL112N00	1235654	486.64	3.9050000000000002	0.015604	0.065594	110
Propionibacterium phage P14.4	1229784	450.08	3.611	0.015698	0.061635	132
Propionibacterium phage PAS50	504553	425.53	3.4139999999999997	0.01531	0.068953	114
Merkel cell polyomavirus	493803	420.28	3.372	0.076187	0.076187	199
Propionibacterium phage P105	1229788	371.74	2.983	0.011108	0.060373	58
Propionibacterium phage PAD20	504501	357.19	2.866	0.017779	0.055391	176
Propionibacterium phage PHL067M10	1235649	349.12	2.801	0.010736	0.052767	62
Propionibacterium phage P100_1	1229791	335.3	2.69	0.011538	0.067167	77
unclassified Lambda-like viruses	335795	288.78	2.317	0.045139	0.043609	216
Siphoviridae	10699	268.88	2.157	0.067568	0.067568	23
Propionibacterium phage ATCC29399B_C	1229794	258.63	2.075	0.013035	0.04335	39
Staphylococcus phage Ipla5	1197952	215.91	1.7319999999999998	0.014762	0.02646	482
Propionibacterium phage PHL114L00	1235656	209.64	1.6820000000000002	0.014056	0.031941	157
Staphylococcus phage CNPH82	398839	189.42	1.52	0.016502	0.026669	281
Staphylococcus phage Ipla7	1197953	109.11	0.8750000000000001	0.023315	0.016548	350
Escherichia phage TL-2011b	1124654	99.02	0.7939999999999999	0.014351	0.014351	415
Staphylococcus phage PH15	399185	78.49	0.63	0.010391	0.012319	250
