Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Actinotignum sanguinis GCA_003957255.1	1445614	14.66	568788	600736
Streptococcus anginosus GCA_001812815.1	1739380	12.07	441331	494603
Falseniella ignava GCA_000301055.1	883112	7.539999999999999	243144	308973
Actinotignum schaalii_A GCA_000411135.1	883067	6.18	244073	253243
Imtechella halotolerans GCA_000260835.1	946077	5.6	330835	229476
Allobacillus halotolerans GCA_007559355.1	1955271	5.09	244370	208577
Propionimicrobium lymphophilum GCA_000510445.1	1111131	3.3000000000000003	128099	135227
Corynebacterium sp001815985 GCA_001815985.1	1581065	3.1300000000000003	129352	128261
Prevotella timonensis GCA_000455445.1	1122992	2.38	144360	97527
Anaerococcus sp900258475 GCA_900258475.1	2057799	2.36	100329	96708
Facklamia hominis GCA_000301035.1	883111	2.06	72715	84414
Peptoniphilus_A harei_A GCA_000183565.2	908338	2.02	69191	82775
Brevibacterium ravenspurgense GCA_001806795.1	1581055	1.9299999999999997	84005	79087
Peptoniphilus_C coxii GCA_001553115.1	755172	1.83	63461	74990
Prevotella timonensis_A GCA_000762405.1	1401062	1.6099999999999999	96566	65974
Aerococcus sp001809535 GCA_001836025.1	1715184	1.32	52176	54091
Actinotignum timonense GCA_002860685.1	1870995	1.25	54075	51222
Vaginimicrobium propionicum GCA_900155645.1	1871034	1.25	47986	51222
Ezakiella coagulans GCA_003096635.1	46507	1.23	41770	50403
Varibaculum massiliense GCA_900106855.1	1852372	1.1	47589	45076
Corynebacterium urealyticum GCA_000069945.1	504474	1.02	45022	41797
Staphylococcus lugdunensis GCA_001812005.1	1739335	1.01	48250	41388
Finegoldia magna_H GCA_000179495.1	768713	0.96	32358	39339
Pseudoglutamicibacter cumminsii_A GCA_003143995.1	156979	0.74	29388	30324
Corynebacterium aurimucosum_F GCA_000022905.1	548476	0.71	37370	29094
Winkia neuii GCA_001812065.1	1739339	0.7	31240	28685
Streptococcus agalactiae	1311	0.62	23644	25406
Corynebacterium imitans GCA_000739455.1	156978	0.62	30054	25406
Varibaculum cambriense GCA_000420065.1	1123488	0.61	23459	24997
Actinotignum schaalii GCA_000724605.1	59505	0.58	23976	23767
Peptoniphilus_B duerdenii GCA_000478945.1	1111133	0.55	20644	22538
Corynebacterium sp001815935 GCA_001815935.1	1581050	0.55	24650	22538
Aerococcus urinae_A GCA_000193205.1	2976812	0.52	20188	21309
Gleimia urinae GCA_900119695.1	1689268	0.5	18703	20489
Helcococcus sueciensis GCA_000423145.1	1121947	0.4699999999999999	14054	19260
Aerococcus urinae_D GCA_001809895.1	1715159	0.44	17538	18030
Campylobacter_B ureolyticus GCA_000597825.1	827	0.44	13889	18030
Porphyromonas_A somerae GCA_000372405.1	1122975	0.42	18874	17211
Finegoldia magna GCA_009678325.1	2584649	0.4099999999999999	14198	16801
Aerococcus urinae_B GCA_001811135.1	1739288	0.36	12833	14752
Peptoniphilus_A vaginalis GCA_900176605.1	1756987	0.36	12924	14752
Urinicoccus massiliensis GCA_900120405.1	1723382	0.36	13871	14752
Nosocomiicoccus ampullae_A GCA_001696685.1	489910	0.35	10314	14342
Porphyromonas uenonis_A GCA_000174775.1	596327	0.35	13893	14342
Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	0.34	11767	13932
Fenollaria massiliensis GCA_001811395.1	1739304	0.34	10347	13932
Porphyromonas uenonis GCA_000482365.1	1122976	0.32	13579	13113
Staphylococcus simulans GCA_001838445.1	1739455	0.3	14501	12293
Prevotella buccalis GCA_000177075.1	679190	0.29	16326	11884
Corynebacterium amycolatum GCA_008042235.1	2022657	0.29	13567	11884
Campylobacter_B ureolyticus_A GCA_000413435.1	883165	0.28	9060	11474
Anaerococcus vaginalis_B GCA_000307225.1	33037	0.27	10131	11064
Gleimia hominis GCA_002871945.1	595468	0.27	11076	11064
Globicatella sanguinis GCA_001811625.1	1739315	0.25	11505	10244
Corynebacterium riegelii GCA_001806945.1	1581072	0.25	11748	10244
Peptoniphilus_A harei GCA_001815405.1	1739525	0.22999999999999998	8046	9425
