Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Propionibacteriaceae	31957	1580114.9100000001	83.175	619008
Staphylococcaceae	90964	251063.3	13.215000000000002	61128
Peptoniphilaceae	1570339	29613.33	1.559	535193
Corynebacteriaceae	1653	21104.42	1.1099999999999999	105602
Micrococcaceae	1268	7127.85	0.375	19184
Peptostreptococcaceae	186804	2039.22	0.107	4066
Streptococcaceae	1300	1819.4100000000003	0.096	1935
Veillonellaceae	31977	1547.08	0.081	8008
Porphyromonadaceae	171551	1379.79	0.07300000000000001	14781
Tissierellia_u_f	1737404	782.94	0.041	6073
Lactobacillaceae	33958	717.71	0.037	600
Dermabacteraceae	85020	471.65	0.024	7088
Campylobacteraceae	72294	429.74	0.023	1552
Actinomycetaceae	2049	240.51999999999998	0.013	271
Pseudomonadaceae	135621	225.81	0.012	114
Synergistaceae	649777	226.27	0.012	80
Aerococcaceae	186827	174.75	0.009000000000000001	640
Brevibacteriaceae	85019	141.85	0.006999999999999999	3427
Enterococcaceae	81852	137.95	0.006999999999999999	11
Dietziaceae	85029	91.75	0.005	24
Bifidobacteriaceae	31953	89.3	0.005	1425
Christensenellaceae	990719	88.67	0.005	287
Morganellaceae	1903414	80.07	0.004	6
