Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Escherichia coli	562	91.99	17171040	16435215
Enterococcus faecalis	1351	2.61	256264	466311
Aerococcus urinae_B GCA_001811135.1	1739288	2.41	162231	430578
Aerococcus urinae_D GCA_001809895.1	1715159	0.65	49402	116131
Imtechella halotolerans GCA_000260835.1	946077	0.45000000000000007	49631	80398
Allobacillus halotolerans GCA_007559355.1	1955271	0.44	40212	78612
Salmonella enterica	28901	0.31	50632	55386
Actinotignum sanguinis GCA_003957255.1	1445614	0.27	19515	48239
Bifidobacterium breve GCA_002914865.1	1685	0.1	8450	17866
Falseniella ignava GCA_000301055.1	883112	0.09	5249	16080
Actinotignum schaalii_A GCA_000411135.1	883067	0.09	6663	16080
Aerococcus sp001809535	119206	0.08	6137	14293
Aerococcus urinae_A GCA_000193205.1	2976812	0.07	5164	12506
Varibaculum massiliense GCA_900106855.1	1852372	0.07	6081	12506
Bifidobacterium longum GCA_002075935.1	216816	0.04	3736	7147
Propionimicrobium lymphophilum GCA_000510445.1	1111131	0.03	1868	5360
Ezakiella coagulans GCA_003096635.1	46507	0.03	2040	5360
Streptococcus sp001553685 GCA_001808865.1	1715207	0.02	1572	3573
Peptoniphilus_A harei_A GCA_000183565.2	908338	0.02	1347	3573
Ezakiella peruensis GCA_900215725.1	1464038	0.02	1067	3573
Bradyrhizobium sp003020075 GCA_000465325.1	1230476	0.01	2757	1787
Streptococcus anginosus_C	1328	0.01	534	1787
Streptococcus pseudopneumoniae_L GCA_001811305.1	1739299	0.01	905	1787
Streptococcus sp001808705 GCA_001808705.1	1715098	0.01	1076	1787
Streptococcus pseudopneumoniae_M GCA_000148975.2	871237	0.01	712	1787
Facklamia hominis GCA_000301035.1	883111	0.01	534	1787
Globicatella sanguinis GCA_001811625.1	1739315	0.01	712	1787
Allobacillus salarius GCA_007559425.1	1955272	0.01	872	1787
Staphylococcus aureus GCA_013371405.1	1280	0.01	1097	1787
Alloscardovia_u_t	419014	0.01	652	1787
Actinotignum timonense GCA_002860685.1	1870995	0.01	674	1787
Gleimia urinae GCA_900119695.1	1689268	0.01	578	1787
Winkia sp002849225	29318	0.01	532	1787
Pauljensenia radingae_A	1673722	0.01	767	1787
Corynebacterium sp001815985 GCA_001815965.1	1581056	0.01	534	1787
Corynebacterium imitans GCA_000739455.1	156978	0.01	1065	1787
Porphyromonas_A somerae GCA_000372405.1	1122975	0.01	623	1787
Peptoniphilus_A harei GCA_001815405.1	1739525	0.01	889	1787
Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	0.01	534	1787
Peptoniphilus_C coxii GCA_001553115.1	755172	0.01	623	1787
Urinicoccus timonensis	2024205	0.01	534	1787
Anaerococcus sp900258475 GCA_900258475.1	2057799	0.01	801	1787
