Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillales	186826	89.87	7571361	7741477
Flavobacteriales	200644	3.64	397431	313553
Bacillales_D	1385	3.2800000000000002	291429	282542
Actinomycetales	2037	1.6300000000000003	135557	140407
Burkholderiales	80840	0.38	77483	32734
Rhizobiales	356	0.24000000000000002	56572	20674
Tissierellales	1737405	0.22000000000000003	12657	18949
Mycobacteriales	85010	0.20999999999999996	16747	18090
Coriobacteriales	84999	0.1	5596	8614
Propionibacteriales	85009	0.08	7257	6891
Pseudomonadales	72274	0.07	15527	6030
Myxococcales	29	0.07	1994	6030
Bacteroidales	171549	0.04	4768	3446
Xanthomonadales	135614	0.04	6814	3446
Deinococcales	118964	0.04	4336	3445
Staphylococcales	1385	0.03	2770	2584
Desulfovibrionales	213115	0.02	3383	1723
Veillonellales	1843489	0.02	1108	1722
Enterobacterales_A	135625	0.01	797	861
Campylobacterales	213849	0.01	499	861
