Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GI 33390919		-	182449.35	20.132	1	1	17382
Staphylococcus lentus GENE repL		-	61607.74	6.798	1	1	7799
Staphylococcus aureus GENE AACA-APHD		-	52807.62	5.827	1	1	15575
Staphylococcus aureus GI 33390939		-	49530.75	5.465	0.857143	0.857143	1572
Staphylococcus aureus GI 33390920		-	39049.01	4.309	1	1	3752
Staphylococcus aureus GI 33390945		-	33991.81	3.7510000000000003	1	1	1567
Staphylococcus aureus GENE dfrA		-	26937.57	2.972	0.948498	0.948498	3587
Staphylococcus lentus GENE ermC		-	24736.63	2.73	1	1	4343
Staphylococcus aureus GENE thyA		-	24116.71	2.661	0.96374	0.96374	6256
Staphylococcus epidermidis GeneID SEA1545		-	21311.14	2.352	1	1	2605
Staphylococcus lentus GENE repC		-	20446.52	2.2560000000000002	0.993039	0.993039	4310
Staphylococcus lentus GENE tetK		-	18544.16	2.046	1	1	5439
Staphylococcus lentus GENE pre		-	17006.94	1.8769999999999998	1	1	3792
Staphylococcus aureus GI 33390947		-	16557.14	1.8270000000000002	0.548387	0.548387	458
Bacteroides fragilis GENE mobB		-	15212.9	1.6789999999999998	1	1	2834
Staphylococcus aureus GENE sdr 1604 Branch		-	14411.14	1.59	0.654822	0.64794	769
Bacteroides fragilis GENE mobC		-	13431.34	1.482	0.928105	0.928105	4054
Staphylococcus aureus GENE blaI		-	13114.44	1.447	1	1	1239
Staphylococcus aureus GENE blaZ		-	13016.87	1.436	0.909287	0.909287	2631
Staphylococcus aureus GENE blaR1		-	12737.48	1.406	0.921613	0.921613	4249
Parabacteroides distasonis GI 32395282		-	11578.85	1.278	0.826087	0.826087	666
Bacteroides vulgatus GI 33413459		-	11363.65	1.254	1	1	601
Bacteroides fragilis GENE traF		-	11233.08	1.24	1	1	420
Staphylococcus aureus GI 33390966		-	9505.75	1.049	0.838983	0.838983	1410
Staphylococcus aureus GENE cap 1570 Branch		-	8992.7	0.992	0.543568	0.543568	419
Bacteroides fragilis GENE traB		-	8810.74	0.972	0.871166	0.871166	682
Parabacteroides distasonis GI 32395281		-	8197.08	0.905	1	1	136
Bacteroides fragilis GENE traC		-	7953.37	0.878	0.816	0.816	507
Bacteroides fragilis GENE traD		-	7618.3	0.8410000000000001	0.776515	0.776515	847
Staphylococcus lentus GI 60416748		-	7468.06	0.8240000000000001	0.5	0.5	105
Staphylococcus aureus GENE set 1582 Branch		-	7388.19	0.815	0.548822	0.541063	330
Bacteroides fragilis GENE tetQ		-	7235.38	0.7979999999999999	0.478873	0.478873	2393
Staphylococcus lentus GI 60416745		-	6875.82	0.759	1	1	73
Bacteroides fragilis GENE traE		-	5902.29	0.651	0.793814	0.793814	268
Bacteroides fragilis GENE rteA		-	5703.79	0.629	0.413793	0.413793	2259
Bacteroides fragilis GENE mobA		-	5344.28	0.59	0.57047	0.57047	419
Staphylococcus aureus GeneID SAS0117		-	5237.84	0.5780000000000001	0.729128	0.729128	660
Staphylococcus aureus GENE 1587 Branch		-	5224.92	0.577	0.444444	0.444444	14
Staphylococcus aureus GENE cap 1564 Branch		-	5185.03	0.5720000000000001	0.569231	0.436658	37
Bacteroides fragilis GENE traG		-	5171.63	0.571	0.406704	0.406704	1971
Staphylococcus aureus GeneID SASd0697		-	4870.87	0.5369999999999999	0.828671	0.828671	270
Staphylococcus aureus GENE cap 1543 Branch		-	4712.96	0.52	0.412587	0.414634	137
Staphylococcus aureus GENE 1484 Branch		-	4527.48	0.5	0.875	0.875	7
Staphylococcus aureus GeneID SAS0122		-	4330.81	0.47800000000000004	0.721519	0.721519	256
Staphylococcus aureus GENE cap 1472 Branch		-	4249.96	0.469	1	1	43
Staphylococcus aureus GENE isdB		-	3891.94	0.42900000000000005	0.888889	0.87218	56
Enterococcus faecalis GENE repB		-	3685.29	0.407	0.622951	0.622951	273
Enterococcus faecium GENE ermB		-	3667.91	0.40499999999999997	0.62963	0.62963	255
Staphylococcus aureus GENE essA		-	3599.57	0.39699999999999996	0.557951	0.557951	347
Staphylococcus aureus GeneID SASa0647		-	3510.09	0.387	0.550239	0.550239	353
Staphylococcus aureus GeneID SASa2550		-	3407.8	0.376	0.516484	0.516484	518
Staphylococcus aureus GeneID SASa0118		-	3320.42	0.366	0.484728	0.484728	550
Staphylococcus aureus GENE spl 1500 Branch		-	3291.06	0.363	0.463134	0.46712	323
Staphylococcus aureus GeneID SAS0115		-	3227.86	0.356	0.506787	0.506787	347
Staphylococcus aureus GENE aur		-	3220.58	0.35500000000000004	0.48808	0.48808	500
Bacteroides fragilis GI 46242808		-	3174.09	0.35000000000000003	0.407407	0.407407	233
Staphylococcus aureus GeneID SAS0119		-	3067.18	0.338	0.438172	0.438172	554
Staphylococcus aureus GENE cap 1506 Branch		-	3025.63	0.334	0.411765	0.411765	545
Staphylococcus aureus GeneID SASa0649		-	2964.46	0.327	0.498956	0.498956	282
Staphylococcus aureus GeneID SASa0736		-	2899.73	0.32	0.488029	0.488029	292
Staphylococcus aureus GeneID SASa0648		-	2784.82	0.307	0.464819	0.464819	281
Enterococcus faecalis GENE mobB		-	2466.79	0.272	0.414634	0.414634	283
Staphylococcus aureus GeneID SAS1015		-	2119.21	0.234	0.442308	0.442308	90
Staphylococcus aureus GeneID SAS1730		-	1897.47	0.209	0.40566	0.40566	86
Enterococcus hirae GENE ermB		-	1321.76	0.146	1	1	3
