ID	Name	Copies per Million (CPM)	Relative Abundance
PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	15884.2	1.588419807642361
PWY-7238	sucrose biosynthesis II	12065	1.2064998538928675
PWY-5941	glycogen degradation II	10421.1	1.0421098738004941
PWY-7111	pyruvate fermentation to isobutanol (engineered)	10248.4	1.0248398758918909
VALSYN-PWY	L-valine biosynthesis	10066.2	1.0066198780983326
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	9701.1	0.970109882519693
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	8500.17	0.8500168970629536
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	8162.79	0.816278901148625
PWY0-1477	ethanolamine utilization	8047.56	0.80475590254406
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	7753.92	0.7753919061000399
PWY-8178	pentose phosphate pathway (non-oxidative branch) II	7726.63	0.7726629064305218
PWY-5103	L-isoleucine biosynthesis III	7528.2	0.7528199088335088
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	7472.64	0.7472639095063404
PWY-5695	inosine 5'-phosphate degradation	7326.26	0.732625911279002
PWY-6608	guanosine nucleotides degradation III	7326.26	0.732625911279002
PWY-7977	L-methionine biosynthesis IV	6896.05	0.6896049164888445
PWY-5913	partial TCA cycle (obligate autotrophs)	6893.69	0.689368916517424
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	6833.2	0.6833199172499579
PENTOSE-P-PWY	pentose phosphate pathway	6818.97	0.6818969174222832
FERMENTATION-PWY	mixed acid fermentation	6632.1	0.6632099196852786
CALVIN-PWY	Calvin-Benson-Bassham cycle	6624.01	0.6624009197832484
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	6616.67	0.6616669198721359
PWY-7117	C4 photosynthetic carbon assimilation cycle, PEPCK type	6456.32	0.6456319218139741
METSYN-PWY	superpathway of L-homoserine and L-methionine biosynthesis	6387.49	0.6387489226475053
PWY-1042	glycolysis IV	6191.98	0.6191979250151312
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	6138.73	0.6138729256599885
PWY-3001	superpathway of L-isoleucine biosynthesis I	6069.55	0.6069549264977583
PWY0-301	L-ascorbate degradation I (bacterial, anaerobic)	6068.82	0.6068819265065986
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	5890.41	0.5890409286671434
PWY-6936	seleno-amino acid biosynthesis (plants)	5870.2	0.5870199289118865
PWY-5667	CDP-diacylglycerol biosynthesis I	5868.82	0.5868819289285983
PWY0-1319	CDP-diacylglycerol biosynthesis II	5868.82	0.5868819289285983
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	5797.92	0.5797919297871972
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	5797.92	0.5797919297871972
PWY-6353	purine nucleotides degradation II (aerobic)	5766.18	0.5766179301715685
GALACTARDEG-PWY	D-galactarate degradation I	5708.14	0.5708139308744329
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	5708.14	0.5708139308744329
THRESYN-PWY	superpathway of L-threonine biosynthesis	5698.78	0.5698779309877824
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	5628.56	0.5628559318381465
PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	5583.01	0.558300932389757
PWY-6961	L-ascorbate degradation II (bacterial, aerobic)	5562.06	0.5562059326434615
PWY-4041	γ-glutamyl cycle	5535.04	0.5535039329706736
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	5529.38	0.5529379330392161
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	5498.91	0.5498909334082078
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	5478.02	0.5478019336611858
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	5455.69	0.5455689339316019
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	5421.18	0.542117934349518
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	5392.03	0.5392029347025245
PWY-7400	L-arginine biosynthesis IV (archaebacteria)	5374.68	0.537467934912633
P161-PWY	acetylene degradation (anaerobic)	5266.48	0.5266479362229347
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	5259.61	0.5259609363061304
PWY-6305	superpathway of putrescine biosynthesis	5251.35	0.5251349364061592
GLYOXYLATE-BYPASS	glyoxylate cycle	5146.42	0.5146419376768612
SO4ASSIM-PWY	assimilatory sulfate reduction I	5135.89	0.5135889378043795
PWY-5484	glycolysis II (from fructose 6-phosphate)	5085.26	0.5085259384175087
TRNA-CHARGING-PWY	tRNA charging	5076.11	0.5076109385283152
PWY-5675	nitrate reduction V (assimilatory)	5026.83	0.502682939125096
PWY-6606	guanosine nucleotides degradation II	4975.31	0.4975309397490031
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	4951.03	0.49510294004303385
PWY-7953	UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	4932.7	0.49326994026501014
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	4910.77	0.49107694053058243
GLUTORN-PWY	L-ornithine biosynthesis I	4874.89	0.48748894096508916
PWY0-1296	purine ribonucleosides degradation	4870.74	0.4870739410153456
FAO-PWY	fatty acid β-oxidation I (generic)	4861.61	0.4861609411259099
GLUCARDEG-PWY	D-glucarate degradation I	4857.69	0.48576894117338104
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	4857.34	0.4857339411776196
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis	4813.4	0.48133994170973293
ORNDEG-PWY	superpathway of ornithine degradation	4799.14	0.4799139418824216
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	4683.78	0.4683779432794309
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	4673.68	0.46736794340174204
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	4670.57	0.467056943439404
SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis	4614.78	0.46147794411502085
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	4549.79	0.45497894490204965
PWY-6901	superpathway of glucose and xylose degradation	4549.51	0.4549509449054405
GLUCONEO-PWY	gluconeogenesis I	4535.85	0.45358494507086305
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	4481.17	0.4481169457330378
PWY-621	sucrose degradation III (sucrose invertase)	4465.73	0.4465729459200161
HEME-BIOSYNTHESIS-II-1	heme b biosynthesis V (aerobic)	4454.82	0.4454819460521362
HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	4454.82	0.4454819460521362
HEMESYN2-PWY	heme b biosynthesis II (oxygen-independent)	4426.4	0.44263994639630233
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	4406.82	0.44068194663341614
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	4406.82	0.44068194663341614
P441-PWY	superpathway of N-acetylneuraminate degradation	4394.08	0.43940794678769757
PWY-5136	fatty acid β-oxidation II (plant peroxisome)	4382.12	0.4382119469325331
PWY-702	L-methionine biosynthesis II	4284.57	0.4284569481138634
PWY-5723	Rubisco shunt	4243.21	0.424320948614733
PWY-8004	Entner-Doudoroff pathway I	4230.31	0.42303094877095204
FUCCAT-PWY	fucose degradation	4220.07	0.4220069488949584
PWY-6527	stachyose degradation	4218.34	0.4218339489159087
PWY-561	superpathway of glyoxylate cycle and fatty acid degradation	4173.83	0.41738294945492477
PWY-724	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	4163.07	0.4163069495852283
PWY-6609	adenine and adenosine salvage III	4159.44	0.41594394962918757
PWY-7221	guanosine ribonucleotides de novo biosynthesis	4155	0.41549994968295595
PWY-5918	superpathway of heme b biosynthesis from glutamate	4125.8	0.412579950036568
RHAMCAT-PWY	L-rhamnose degradation I	4116.17	0.4116169501531873
