Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Cutibacterium acnes	1747	4530.14	34.582	10
Propionibacterium sp. 5_U_42AFAA	450748	4481.23	34.208	13
Micrococcus luteus	1270	783.4	5.9799999999999995	798
Corynebacterium pseudogenitalium	38303	569.46	4.347	3881
Corynebacterium tuberculostearicum	38304	554.46	4.233	3132
Enhydrobacter aerosaccus	225324	307.36	2.346	3337
Staphylococcus capitis	29388	306.58	2.34	77
Staphylococcus epidermidis	1282	237.12	1.81	101
Staphylococcus_u_s	1279	224.52	1.714	109
Kocuria_u_s	57493	146.34	1.117	32
Corynebacterium ihumii	1232427	133.73	1.0210000000000001	2839
Streptococcus_u_s	1301	116.75	0.8909999999999999	7
Burkholderiales_u_s	80840	110.78	0.8460000000000001	10
Finegoldia magna	1260	107.7	0.822	129
Staphylococcus aureus	1280	88.9	0.679	47
Anaerococcus prevotii	33034	84.32	0.644	15
Tissierellia bacterium S7-1-4	1284708	81.32	0.621	1127
Staphylococcus pettenkoferi	170573	80.59	0.615	1898
Varibaculum cambriense	184870	78.11	0.596	98
Peptoniphilus_u_s	162289	76.99	0.588	117
