Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillales	186826	90.12	5806848	5910451
Actinomycetales	2037	5.769999999999999	401691	378421
Flavobacteriales	200644	1.9	176818	124610
Bacillales_D	1385	1.84	139008	120675
Mycobacteriales	85010	0.17	14149	11149
Staphylococcales	1385	0.08	6423	5247
Tissierellales	1737405	0.04	1869	2624
Burkholderiales	80840	0.03	4786	1968
Rhizobiales	356	0.02	4119	1312
Veillonellales	1843489	0.02	941	1312
Bacteroidales	171549	0.01	1769	656
