Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GI 33390919		-	583831.71	22.787	1	1	62608
Staphylococcus aureus GI 33390948		-	249092.4	9.722	0.734807	0.834483	19404
Staphylococcus aureus GI 33390920		-	110483.4	4.312	0.917197	0.917197	10381
Staphylococcus aureus GI 33390945		-	107970	4.2139999999999995	1	1	4733
Staphylococcus lentus GENE pre		-	107505.82	4.196	1	1	27758
Staphylococcus lentus GENE repC		-	104840.96	4.092	1	1	24037
Staphylococcus aureus GENE dfrA		-	83853.97	3.273	0.802575	0.802575	11431
Staphylococcus aureus GENE AACA-APHD		-	67051.74	2.617	1	1	19827
Staphylococcus aureus GENE thyA		-	63478.28	2.478	1	1	17480
Staphylococcus aureus GENE 1602 Branch		-	58879.24	2.298	0.8	0.65	911
Enterococcus faecalis GENE repB		-	57116.83	2.229	0.986339	0.986339	11490
Staphylococcus lentus GENE tetK		-	54328.27	2.12	1	1	18419
Enterococcus faecalis GENE mobB		-	51159.12	1.997	0.674216	0.674216	15964
Staphylococcus epidermidis GeneID SEA1545		-	40528.33	1.582	1	1	5245
Staphylococcus aureus GENE cap 1548 Branch		-	33447.49	1.3050000000000002	0.752608	0.752608	4703
Staphylococcus aureus GI 33390947		-	31200.08	1.218	1	1	770
Staphylococcus aureus GENE cap 1575 Branch		-	30546.33	1.192	0.873253	0.873253	5730
Staphylococcus aureus GENE cap 1629 Branch		-	30068.04	1.174	0.902439	0.902439	3333
Enterococcus faecium GENE sat4		-	22848.17	0.8920000000000001	1	1	2207
Staphylococcus aureus GENE blaZ		-	20965.39	0.818	0.742981	0.742981	5181
Staphylococcus aureus GENE cap 1469 Branch		-	20811.77	0.812	0.704274	0.704274	2755
Staphylococcus aureus GENE cap 1564 Branch		-	19746.45	0.771	0.830769	0.82345	547
Staphylococcus aureus GeneID SAS0115		-	19246.51	0.751	0.79638	0.79638	4430
Staphylococcus aureus GeneID SAS0122		-	18083.7	0.7060000000000001	0.869198	0.869198	2381
Staphylococcus aureus GeneID SAS0117		-	17703.98	0.6910000000000001	0.734694	0.734694	4875
Staphylococcus aureus GENE cap 1508 Branch		-	17253.44	0.673	0.587065	0.627306	1329
Staphylococcus aureus GeneID SAS0119		-	16751.15	0.654	0.642473	0.642473	6263
Staphylococcus aureus GI 33390939		-	16747.13	0.654	1	1	516
Staphylococcus lentus GI 60416745		-	15784.75	0.616	1	1	185
Staphylococcus aureus GENE cap 1543 Branch		-	15607.68	0.609	0.604895	0.705285	1707
Staphylococcus aureus GENE cna		-	15544.02	0.607	0.517716	0.517716	19741
Staphylococcus aureus GeneID SAS0121		-	15440.39	0.603	0.674858	0.674858	4205
Staphylococcus aureus GENE hys 1513 Branch		-	15168.82	0.592	0.531343	0.595361	2580
Staphylococcus aureus GeneID SASa0122		-	15146.36	0.5910000000000001	0.688047	0.688047	2846
Enterococcus faecium GENE aadE		-	14877.57	0.581	1	1	2414
Staphylococcus aureus GENE cap 1617 Branch		-	14849.2	0.58	0.681818	0.681818	223
Staphylococcus aureus GENE blaI		-	14651.09	0.5720000000000001	0.920635	0.920635	1499
Staphylococcus aureus GeneID SASa0118		-	14609.66	0.5700000000000001	0.620186	0.620186	5454
Staphylococcus aureus GENE cap 1461 Branch		-	14531.79	0.567	0.87478	0.87478	3692
Staphylococcus aureus GeneID SASa0120		-	14466.74	0.565	0.660377	0.660377	5515
Staphylococcus aureus GeneID SASa0648		-	14102.83	0.5499999999999999	0.846482	0.846482	3093
Staphylococcus aureus GeneID SASa0115		-	12009.22	0.469	0.904645	0.904645	2129
Staphylococcus aureus GENE 1597 Branch		-	11665.85	0.455	0.835227	0.62685	5364
Staphylococcus aureus GeneID SASa2284		-	11264.58	0.44	0.819005	0.819005	2204
Staphylococcus aureus GENE cap5H		-	11065.99	0.432	0.785714	0.785714	2175
Staphylococcus aureus GeneID SASa2550		-	10908.38	0.426	0.562882	0.562882	4251
Staphylococcus aureus GENE geh		-	10705.41	0.418	0.414597	0.58984	12467
Staphylococcus aureus GENE qacC		-	9606.02	0.375	0.993151	0.993151	645
Staphylococcus aureus GENE essA		-	9445.88	0.369	0.673854	0.673854	1691
Staphylococcus aureus GENE blaR1		-	9394.61	0.367	0.5028	0.5028	3971
Staphylococcus aureus GeneID SASa0649		-	9256.15	0.361	0.709812	0.709812	1941
Staphylococcus aureus GeneID SAS1013		-	8778.56	0.34299999999999997	0.773171	0.773171	1486
Staphylococcus aureus GENE spa		-	8762.73	0.34199999999999997	0.433346	0.552153	10232
Staphylococcus aureus GeneID SASa0647		-	8769.34	0.34199999999999997	0.779904	0.779904	1494
Staphylococcus aureus GENE cap5I		-	8533.32	0.333	0.633028	0.633028	3272
Staphylococcus aureus GENE cap1B		-	8436.97	0.329	0.651899	0.622505	628
