Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Oscillospirales	186802	22.490000000000002	327969	286972
Lactobacillales	186826	20.49	196318	261449
Lachnospirales	186802	11.809999999999999	206472	150697
Tissierellales	1737405	11.039999999999996	101114	140871
Coriobacteriales	84999	6.989999999999998	81394	89192
Actinomycetales	2037	6.829999999999999	73825	87149
Methanobacteriales	2158	3.58	32329	45681
Bacteroidales	171549	3.4099999999999993	68507	43512
Mycobacteriales	85010	3.2099999999999995	41853	40960
Bacillales_D	1385	1.9200000000000002	24042	24499
Flavobacteriales	200644	1.77	27200	22585
UBA1381	186801	1.5	23670	19140
Staphylococcales	1385	0.9300000000000002	10695	11868
Peptostreptococcales	186802	0.62	7409	7911
Veillonellales	1843489	0.53	4478	6762
Verrucomicrobiales	48461	0.53	8482	6763
Propionibacteriales	85009	0.46	5153	5870
Burkholderiales	80840	0.4	9628	5104
Erysipelotrichales	526525	0.35	5024	4465
Acidaminococcales	1843488	0.25	2899	3190
Enterobacterales	91347	0.24000000000000002	5406	3062
Rhizobiales	356	0.2	5799	2551
Enterobacterales_A	135625	0.14	1245	1786
Desulfovibrionales	213115	0.12	2150	1531
Peptococcales	186802	0.06	623	766
Pseudomonadales	72274	0.04	1302	510
Synergistales	649776	0.04	750	510
ML615J-28	1385	0.03	256	383
