Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcaceae	90964	34974.69	45.791	11636
Corynebacteriaceae	1653	22170.600000000002	29.027	62376
Pasteurellaceae	712	6978.28	9.136	117019
Propionibacteriaceae	31957	5487.47	7.185	22195
Streptococcaceae	1300	2929.05	3.8350000000000004	236
Peptoniphilaceae	1570339	2690.79	3.523	24293
Fusobacteriaceae	203492	462.76	0.606	1212
Micrococcaceae	1268	295.69	0.387	459
Peptostreptococcaceae	186804	215.75	0.28200000000000003	1629
Prevotellaceae	171552	173.05	0.22699999999999998	81
