Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Propionibacterium phage PHL071N05	1235650	6391.56	8.919	0.036717	0.116542	4647
Staphylococcus phage StB20	1147043	6114.25	8.532	0.210718	0.205004	51465
Propionibacterium phage P14.4	1229784	5195.46	7.249999999999999	0.032457	0.098898	4324
Propionibacterium phage P100D	1229789	4847.98	6.765000000000001	0.042154	0.125093	3011
Propionibacterium phage P1.1	1229792	4640.29	6.4750000000000005	0.015755	0.098584	1393
Propionibacterium phage P104A	1229787	4271.26	5.96	0.034347	0.099751	3254
Propionibacterium phage PHL112N00	1235654	4150.82	5.792	0.033629	0.098722	2756
Propionibacterium phage PHL113M01	1235655	4018.58	5.608	0.023309	0.080385	2235
Propionibacterium phage PHL111M01	1235653	3618.74	5.050000000000001	0.028715	0.079043	2649
Propionibacterium phage P101A	1229786	3325.53	4.641	0.025065	0.085313	1340
Propionibacterium phage PAD20	504501	3238.87	4.52	0.021644	0.075338	2014
Propionibacterium phage PHL060L00	1235647	3063.59	4.275	0.01411	0.073826	1066
Propionibacterium phage PHL067M10	1235649	2814.73	3.9280000000000004	0.027352	0.066892	2457
Propionibacterium phage P9.1	1229782	2754.8	3.8440000000000003	0.0306	0.072044	2208
Propionibacterium phage ATCC29399B_C	1229794	2703.82	3.773	0.010552	0.061613	504
Propionibacterium phage PA6	376758	2654.77	3.705	0.011017	0.069808	960
Propionibacterium phage PAS50	504553	2533	3.535	0.01531	0.064168	1464
Propionibacterium phage P105	1229788	2033.43	2.838	0.013956	0.082717	593
Merkel cell polyomavirus	493803	1745.35	2.436	0.250766	0.253505	721
Human immunodeficiency virus 1	11676	372.85	0.52	0.045956	0.045956	306
Staphylococcus phage Ipla5	1197952	311.59	0.43499999999999994	0.039756	0.03197	1132
Staphylococcus phage Ipla7	1197953	252.36	0.35200000000000004	0.028084	0.024031	1156
Staphylococcus phage CNPH82	398839	239.64	0.334	0.040149	0.026484	1166
Staphylococcus phage PH15	399185	205.73	0.28700000000000003	0.014482	0.019683	1009
Equine infectious anemia virus	11665	160.8	0.22399999999999998	0.018813	0.018813	342
