Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Staphylococcales	1385	50.86	3331224	2991711
Lactobacillales	186826	38.95	1857613	2291135
Propionibacteriales	85009	3.05	193679	179408
Bacteroidales	171549	3.0099999999999993	253783	177055
Actinomycetales	2037	1.8200000000000003	114580	107057
Tissierellales	1737405	1.6300000000000003	85880	95880
Bacillales_D	1385	0.2	14115	11764
Flavobacteriales	200644	0.19	16908	11176
Campylobacterales	213849	0.11000000000000001	5188	6471
Veillonellales	1843489	0.06999999999999999	2776	4118
Mycobacteriales	85010	0.06	4528	3529
Coriobacteriales	84999	0.05	1973	2941
