Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GI 33390919		-	610811.84	48.752	0.758794	0.844156	61707
Staphylococcus aureus GI 33390920		-	87550.93	6.9879999999999995	0.917197	0.917197	8339
Staphylococcus aureus GENE dfrA		-	67015.3	5.349	0.746781	0.746781	9285
Staphylococcus aureus GENE thyA		-	46348.18	3.6990000000000003	0.96374	0.96374	12762
Staphylococcus aureus GENE 1602 Branch		-	38921.31	3.107	0.822222	0.635714	934
Staphylococcus epidermidis GeneID SEA1545		-	24650.72	1.968	1	1	3078
Bacteroides fragilis GI 46242796		-	16130.13	1.287	0.998008	0.998008	8773
Bacteroides fragilis GENE rteA		-	14605.46	1.166	0.975528	0.975528	5053
Bacteroides fragilis GENE tetQ		-	14600.42	1.165	0.990141	0.990141	4136
Bacteroides fragilis GI 46242797		-	14585.13	1.164	1	1	2965
Bacteroides fragilis GENE mobB		-	14096.06	1.125	1	1	2544
Bacteroides fragilis GI 46242799		-	14072.16	1.123	1	1	1255
Bacteroides fragilis GENE rteB		-	13930.81	1.1119999999999999	1	1	2685
Bacteroides fragilis GENE bmhA		-	13894.54	1.109	0.980932	0.980932	4849
Bacteroides fragilis GENE mobC		-	13723.35	1.095	1	1	3966
Bacteroides fragilis GENE int		-	13626.31	1.088	1	1	2108
Bacteroides fragilis GI 46242807		-	12959.09	1.034	0.993915	0.993915	2581
Bacteroides fragilis GENE rhuM		-	12576.36	1.004	1	1	689
Bacteroides fragilis GI 46242808		-	11835.34	0.9450000000000001	1	1	829
Bacteroides fragilis GENE rteC		-	11737.53	0.9369999999999999	1	1	1087
Bacteroides fragilis GENE mobA		-	11330.96	0.9039999999999999	1	1	839
Bacteroides fragilis GENE exc		-	11292.02	0.901	0.94094	0.94094	2977
Bacteroides fragilis GI 46242809		-	10937.35	0.873	1	1	682
Parabacteroides distasonis GI 32395282		-	10638.57	0.849	0.826087	0.826087	599
Bacteroides fragilis GI 46242810		-	9577.44	0.764	1	1	462
Parabacteroides distasonis GI 32395281		-	8933.11	0.713	1	1	152
Bacteroides vulgatus GI 33413459		-	8474.2	0.676	1	1	386
Bacteroides fragilis GI 46242805		-	8430.91	0.673	1	1	612
Staphylococcus aureus GI 33390947		-	7270.05	0.58	0.741935	0.741935	176
Streptococcus agalactiae GENE cylE		-	6781.49	0.541	0.831533	0.831533	1393
Bacteroides fragilis GI 46242811		-	6242.1	0.498	0.648649	0.648649	290
Streptococcus pyogenes GENE scpA		-	5939.33	0.47400000000000003	0.629726	0.633075	1453
Streptococcus agalactiae GENE neuB		-	5726.48	0.457	0.807692	0.807692	584
Streptococcus agalactiae GENE cpsB		-	5614.17	0.44799999999999995	0.842566	0.842566	450
Streptococcus agalactiae GENE scpB		-	5155.75	0.41200000000000003	1	1	88
Streptococcus agalactiae GENE neuC		-	4379.95	0.35000000000000003	0.551515	0.551515	686
Streptococcus agalactiae GENE lmb		-	4355.26	0.348	0.63	0.63	466
Streptococcus agalactiae GENE bca		-	4299.14	0.34299999999999997	0.588068	0.588068	479
Streptococcus agalactiae GENE pavA		-	4273.98	0.34099999999999997	0.612626	0.612626	630
Staphylococcus aureus GENE ica 1623 Branch		-	4127.9	0.329	1	1	10
Streptococcus agalactiae GENE cfb		-	3959.58	0.316	0.631579	0.631579	333
Streptococcus agalactiae GENE hylB		-	3937.14	0.314	0.46723	0.46723	1069
Streptococcus agalactiae GENE neuD		-	3732.37	0.298	0.509615	0.509615	410
Streptococcus agalactiae GENE neuA		-	3547.02	0.28300000000000003	0.46	0.46	612
Enterobacter GENE ebpA		-	3489.18	0.27799999999999997	0.451079	0.451079	1357
Staphylococcus aureus GENE blaZ		-	3394.87	0.271	0.440605	0.440605	534
Streptococcus agalactiae GENE cpsF		-	3331.34	0.266	0.621951	0.621951	146
Enterococcus faecalis GeneID EF0954		-	3298.93	0.263	0.539604	0.539604	301
Streptococcus agalactiae GENE cpsA		-	2617.7	0.209	0.407455	0.407455	417
Enterococcus faecalis GeneID EF1817		-	2583.33	0.20600000000000002	0.472527	0.472527	185
Enterobacter GENE cad		-	2557.78	0.20400000000000001	0.414791	0.414791	332
Streptococcus agalactiae GENE cpsC		-	2518.52	0.201	0.463115	0.463115	159
Streptococcus agalactiae GENE cpsD		-	2464.67	0.197	0.405063	0.405063	233
