Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Escherichia coli GENE aphA7		-	92640.99	11.485	0.95	0.95	16445
Proteus mirabilis GENE tnpA		-	46888.94	5.813	1	1	791
Streptococcus agalactiae GENE cylE		-	29037.55	3.5999999999999996	0.980562	0.980562	12555
Streptococcus agalactiae GENE cpsH		-	23830.3	2.954	1	1	6687
Streptococcus agalactiae GENE cpsN		-	23696.22	2.938	1	1	5383
Staphylococcus aureus GI 33390919		-	23530.05	2.9170000000000003	0.668342	0.785714	2824
Streptococcus agalactiae GENE cpsM		-	23152.6	2.87	1	1	4234
Streptococcus agalactiae GENE cfb		-	22575.67	2.799	0.797784	0.797784	4470
Streptococcus agalactiae GENE cpsK		-	22547.8	2.795	1	1	4698
Streptococcus agalactiae GENE cpsO		-	22140.16	2.7449999999999997	0.942652	0.942652	3357
Streptococcus agalactiae GENE neuB		-	22025.2	2.73	1	1	4568
Streptococcus agalactiae GENE cpsE		-	21391.65	2.6519999999999997	1	1	6563
Streptococcus agalactiae GENE cpsA		-	21102.38	2.616	0.857326	0.857326	7767
Streptococcus agalactiae GENE cpsL		-	19896.43	2.467	1	1	5659
Streptococcus agalactiae GENE cpsC		-	19823.39	2.458	0.913934	0.913934	2669
Streptococcus agalactiae GENE cpsB		-	19415.18	2.407	0.900875	0.900875	3473
Streptococcus agalactiae GENE neuA		-	19211.18	2.382	0.883636	0.883636	5122
Streptococcus agalactiae GENE cpsJ		-	17528.77	2.173	1	1	2885
Streptococcus agalactiae GENE neuC		-	17225.95	2.136	1	1	3870
Streptococcus agalactiae GENE cpsG		-	16191.58	2.007	0.91954	0.91954	1588
Streptococcus agalactiae GENE hylB		-	15928.71	1.975	0.661734	0.661734	7167
Streptococcus agalactiae GENE cpsF		-	15377.73	1.9060000000000001	1	1	1369
Streptococcus agalactiae GENE pavA		-	15278.7	1.894	0.642755	0.642755	5323
Streptococcus agalactiae GENE neuD		-	14825.34	1.838	0.907051	0.907051	2293
Streptococcus agalactiae GENE scpB		-	14752.83	1.8290000000000002	1	1	426
Streptococcus agalactiae GENE lmb		-	12564.67	1.558	0.715	0.715	2538
Streptococcus agalactiae GENE cpsD		-	12536	1.554	0.838608	0.838608	1933
Staphylococcus aureus GI 33390948		-	12437.42	1.542	0.497238	0.686207	1116
Streptococcus agalactiae GENE fbsA		-	12049.64	1.494	0.621019	0.621019	2096
Streptococcus pyogenes GENE scpA		-	11603.48	1.438	0.64146	0.644703	4108
Staphylococcus aureus GENE blaR1		-	8862.58	1.099	0.589026	0.589026	3375
Staphylococcus aureus GENE blaZ		-	8476.96	1.051	0.727862	0.727862	1621
Staphylococcus aureus GENE cap 1562 Branch		-	8259.74	1.024	0.463811	0.463811	449
Staphylococcus lentus GENE repL		-	8263.92	1.024	0.976852	0.976852	661
Staphylococcus aureus GENE cap 1663 Branch		-	7561.53	0.9369999999999999	0.74812	0.74812	388
Staphylococcus aureus GENE blaI		-	7420.52	0.9199999999999999	0.920635	0.920635	529
Enterococcus faecium GENE ermB		-	6562.44	0.814	0.820513	0.820513	721
Staphylococcus lentus GENE ermC		-	6158.14	0.763	0.783784	0.783784	651
Enterococcus faecalis GENE tetL		-	5027.27	0.623	0.739583	0.847561	302
Staphylococcus aureus GeneID SAS1010		-	4993.08	0.619	0.734767	0.734767	398
Staphylococcus epidermidis GeneID SEA1545		-	4815.99	0.597	0.81982	0.81982	245
Enterococcus faecium GI 21886746		-	4644.88	0.5760000000000001	0.928571	0.928571	93
Klebsiella pneumoniae GENE orf6		-	4562.26	0.5660000000000001	0.819672	0.819672	118
Staphylococcus aureus GENE icaD		-	4162.15	0.516	0.574627	0.561594	412
Enterococcus faecium GENE sat4		-	3760.92	0.466	0.612121	0.612121	212
Klebsiella pneumoniae GENE tnpA		-	3473.66	0.43099999999999994	0.635071	0.635071	172
Parabacteroides distasonis GI 32395281		-	3314.19	0.411	1	1	22
Staphylococcus aureus GeneID SASa0803		-	3291.59	0.40800000000000003	0.479545	0.479545	415
Staphylococcus aureus GeneID SAS1014		-	3170.03	0.393	0.525714	0.525714	268
Staphylococcus aureus GI 33390947		-	3035.79	0.376	0.419355	0.419355	82
Staphylococcus aureus GI 33390939		-	2967.59	0.368	0.666667	0.666667	55
Staphylococcus aureus GENE spl 1496 Branch		-	2861.51	0.35500000000000004	0.571429	0.571429	4
Staphylococcus aureus GENE esxB		-	2817.63	0.349	0.448819	0.448819	238
Staphylococcus aureus GENE dfrA		-	2606.4	0.32299999999999995	0.467811	0.467811	169
Staphylococcus lentus GENE repC		-	2519.84	0.312	0.447796	0.447796	214
Klebsiella pneumoniae GI 42543951		-	2444.26	0.303	1	1	10
Enterococcus faecium GENE tetL		-	2434.44	0.302	0.454545	0.842932	55
Bacteroides fragilis GENE rteC		-	2386.29	0.296	0.489796	0.489796	103
Staphylococcus aureus GENE esaB		-	2289.62	0.28400000000000003	0.447005	0.447005	124
Bacteroides fragilis GENE mobA		-	2255.83	0.27999999999999997	0.483221	0.483221	83
Streptococcus pyogenes GI 52345264		-	2170.18	0.269	0.413793	0.413793	150
Staphylococcus aureus GeneID SAS0122		-	2150.83	0.267	0.413502	0.413502	131
Enterococcus faecium GI 21886747		-	2106.19	0.261	0.481481	0.481481	39
Enterococcus hirae GENE ermB		-	1804.89	0.22399999999999998	1	1	6
Enterococcus faecalis GI 32470453		-	1804.53	0.22399999999999998	0.423729	0.423729	56
