Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Bacillales	1385	37276.92	86.02400000000002	27054
Micrococcales	85006	2366.65	5.462	1916
Corynebacteriales	85007	1110.47	2.562	7171
Pseudomonadales	72274	1003.3000000000001	2.315	14612
Lactobacillales	186826	676.17	1.5599999999999998	6122
Propionibacteriales	85009	334.65999999999997	0.772	1094
Tissierellales	1737405	178.25	0.411	123
Bacteroidales	171549	171.47	0.396	15
Actinomycetales	2037	124.75	0.28800000000000003	46
Aeromonadales	135624	90.62	0.209	9
