CAZy ID	Copies per Million (CPM)	Relative Abundance
GT2	188610	18.860994718921475
GT4	94141.3	9.414127364044338
GH13	92920.2	9.292017398235126
GH23	56934.8	5.693478405826046
GT51	45904	4.590398714688359
GH73	42987.6	4.298758796347537
GH4	38210	3.8209989301202993
GT20	38125.2	3.812518932494698
GT9	33905	3.390499050660265
GT8	29110.4	2.911039184909028
GT5	24132.9	2.4132893242789892
GT28	23316.3	2.3316293471437826
GH31	21765	2.1764993905801706
GH2	21487.9	2.1487893983389683
GH8	18756.9	1.875689474806947
GH1	18697.1	1.869709476481346
CBM48	18146.1	1.8146094919093418
GH25	17006.5	1.7006495238181332
CBM50	16553.2	1.6553195365105295
GT26	16491.6	1.649159538235329
AA3	15243.9	1.5243895731709192
GH103	13590.9	1.3590896194549063
GT56	12961.9	1.2961896370669013
CBM34	12498.6	1.2498596500392978
GH3	11918.8	1.1918796662736932
GT35	11909.3	1.1909296665396931
GT83	11743.4	1.174339671184892
AA6	10678.1	1.0678097010132837
GH37	10468.5	1.046849706882082
GH63	10274.1	1.0274097123252806
GH77	8581.33	0.8581327597228272
GH24	6902.46	0.6902458067311741
GH65	3898.05	0.38980489085463055
GT19	2128.94	0.21289394038969664
