Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcaceae	90964	194919.33	84.777	18895
Propionibacteriaceae	31957	29156.010000000002	12.681999999999999	171436
Corynebacteriaceae	1653	3311.7000000000003	1.4409999999999998	20474
Micrococcaceae	1268	1214.6799999999998	0.5289999999999999	2008
Dermabacteraceae	85020	317.47	0.13799999999999998	6255
Microbacteriaceae	85023	274.98	0.12	1231
Rhodospirillales_u_f	204441	259.64	0.11299999999999999	3035
Neisseriaceae	481	179.86	0.07799999999999999	57
Streptococcaceae	1300	151.17	0.066	9
Flavobacteriaceae	49546	131.08	0.056999999999999995	11
