Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
s__Bifidobacterium longum GCA_902167545.1	1679	GCA_902167545.1	Bacteria	97.67	0.721643	0.373818	11916056	11966221
s__Allobacillus halotolerans GCA_007559355.1	1955271	GCA_007559355.1	Bacteria	0.43	0.640579	0.6384	55904	52682
s__Imtechella halotolerans GCA_000260835.1	946077	GCA_000260835.1	Bacteria	0.4099999999999999	0.965124	0.965124	65085	50232
s__Enterococcus faecalis GCA_002944575.1	1351	GCA_002944575.1	Bacteria	0.39	0.510233	0.01605	55567	47782
s__Veillonella atypica GCA_002959915.1	1128111	GCA_002959915.1	Bacteria	0.36	0.325742	0.063645	37157	44106
s__Enterococcus_A raffinosus GCA_001886185.1	71452	GCA_001886185.1	Bacteria	0.15	0.55711	0.557992	31268	18378
s__Staphylococcus epidermidis	1282		Bacteria	0.13	0.564135	0.703704	14909	15927
s__Propionimicrobium lymphophilum GCA_000510445.1	1111131	GCA_000510445.1	Bacteria	0.07	0.240717	0.10505	7262	8576
s__Actinobaculum massiliense GCA_000315465.1	883066	GCA_000315465.1	Bacteria	0.05	0.222656	0.222519	4731	6126
s__Staphylococcus hominis GCA_001809205.1	1715041	GCA_001809205.1	Bacteria	0.04	0.287768	0.021164	4016	4901
s__Bradyrhizobium sp003020075 GCA_000465325.1	1230476	GCA_000465325.1	Bacteria	0.04	0.1051	0.14027	16204	4901
Melampsora pinitorqua Mpini7	1298852	GCA_000464645.1	Fungi	0.03	0.012341	0.012623	4050	3676
s__Allobacillus salarius GCA_007559425.1	1955272	GCA_007559425.1	Bacteria	0.02	0.0502	0.013596	2014	2450
s__Haemophilus_D sp001679485 GCA_001679485.1	1859695	GCA_001679485.1	Bacteria	0.02	0.062865	0.03012	2042	2450
s__Haemophilus_D parainfluenzae_L	862965		Bacteria	0.02	0.035673	0.024403	1698	2450
s__Haemophilus_D parainfluenzae_M GCA_001814055.1	1739452	GCA_001814055.1	Bacteria	0.02	0.07044	0.046404	2079	2450
s__Haemophilus_D sp001815355 GCA_001815355.1	1739522	GCA_001815355.1	Bacteria	0.02	0.048446	0.021552	1630	2450
s__Bradyrhizobium viridifuturi GCA_002289535.1	418599	GCA_002289535.1	Bacteria	0.02	0.032794	0.010422	9929	2450
s__Varibaculum cambriense GCA_000420065.1	1123488	GCA_000420065.1	Bacteria	0.01	0.074614	0.072639	1273	1225
s__Cutibacterium avidum	33010		Bacteria	0.01	0.024788	0.042705	774	1225
s__Corynebacterium tuberculostearicum_C GCA_000175635.1	553206	GCA_000175635.1	Bacteria	0.01	0.048874	0.028961	1230	1225
s__Corynebacterium tuberculostearicum GCA_000156615.2	525264	GCA_000156615.2	Bacteria	0.01	0.047822	0.02838	812	1225
s__Klebsiella pneumoniae GCA_000822665.1	573	GCA_000822665.1	Bacteria	0.01	0.061308	0.017005	2311	1225
s__Proteus mirabilis GCA_000313255.1	1245027	GCA_000313255.1	Bacteria	0.01	0.072729	0.010191	1761	1225
s__Haemophilus_D parainfluenzae_A GCA_000210895.1	862965	GCA_000210895.1	Bacteria	0.01	0.043412	0.018833	1108	1225
s__Haemophilus_D parainfluenzae GCA_000191405.1	888828	GCA_000191405.1	Bacteria	0.01	0.029226	0.010816	791	1225
s__Haemophilus_D sp927911595 GCA_001810345.1	1715211	GCA_001810345.1	Bacteria	0.01	0.047758	0.02211	1175	1225
s__Haemophilus_D sp015255025 GCA_001838635.1	1608898	GCA_001838635.1	Bacteria	0.01	0.041218	0.016731	685	1225
s__Bradyrhizobium sp002532045 GCA_002532045.1	142585	GCA_002532045.1	Bacteria	0.01	0.022087	0.007789	6285	1225
Pseudoperonospora cubensis	143453	GCA_000252605.1	Protists	0.01	0.001485	0.001368	1879	1225
