Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Propionibacterium acnes HL038PA1	765085	517882.91	47.382000000000005	613
Propionibacterium sp. MB3007_u_t	1410615	485412.34	44.411	386
Staphylococcus epidermidis NIHLM001	979219	40454.65	3.701	23889
Staphylococcus capitis QN1	1189311	15319.96	1.402	14102
Staphylococcus sp. JGI 0001002-I23_u_t	1157683	9225.83	0.844	4533
Staphylococcus aureus	1280	8096.84	0.741	6535
Cutibacterium granulosum DSM 20700	1160719	7587.39	0.694	23561
Corynebacterium pseudogenitalium ATCC 33035	525264	1093	0.1	8953
Corynebacterium tuberculostearicum SK141	553206	1047.62	0.096	6888
Rothia mucilaginosa DY-18	680646	1039.25	0.095	10285
Caulobacter sp. JGI 0001013-D04_u_t	1157680	420.88	0.039	6816
Streptococcus parasanguinis	1318	371.58	0.034	26
Gardnerella vaginalis 5-1	682148	343.95	0.031	635
Neisseriaceae_u_t	481	318.6	0.029	49
Corynebacterium tuscaniense DNF00037	1401064	305.81	0.027999999999999997	6664
Turicella otitidis ATCC 51513	883169	302.16	0.027999999999999997	5507
Rothia aeria	172042	257.33	0.024	802
Actinomyces sp. oral taxon 175 str. F0384	944560	238.15	0.022000000000000002	1993
Corynebacterium matruchotii	43768	220.67	0.02	2421
Staphylococcus warneri	1292	220.04	0.02	9
Corynebacterium ihumii	1232427	208.08	0.019	4362
Streptococcus thermophilus	1308	201.56	0.018000000000000002	56
Rothia dentocariosa	2047	178.76	0.016	1155
Staphylococcus hominis VCU122	904339	179.45	0.016	100
Staphylococcus_u_t	1279	168.24	0.015	377
[Propionibacterium] namnetense SK182B-JCVI	1051006	154.33	0.013999999999999999	3218
Alloiococcus otitis ATCC 51267	883081	141.24	0.013	2165
Corynebacterium durum F0235	1035195	128.27	0.012	3314
Propionibacteriaceae_u_t	31957	123.9	0.011000000000000001	354
Actinomyces odontolyticus	1660	121.54	0.011000000000000001	746
Granulicatella_u_t	117563	119.26	0.011000000000000001	20
Finegoldia magna	1260	110.35	0.01	72
[Propionibacterium] humerusii P08	999892	96.42	0.009000000000000001	117
Corynebacterium glucuronolyticum	39791	96.04	0.009000000000000001	1503
Streptococcus_u_t	1301	95.94	0.009000000000000001	289
Lactobacillus_u_t	1578	102.93	0.009000000000000001	10
Anaerococcus prevotii	33034	102.96	0.009000000000000001	56
Actinomyces neuii	33007	86.49	0.008	42
Staphylococcus xylosus	1288	86.68	0.008	560
Haemophilus parainfluenzae	729	90.13	0.008	172
Corynebacterium genitalium ATCC 33030	585529	80.9	0.006999999999999999	1990
Lactobacillus gasseri	1596	75.59	0.006999999999999999	22
Lactobacillus jensenii	109790	81.46	0.006999999999999999	30
