GO ID	GO Category	GO Description	Copies per Million (CPM)	Relative Abundance
GO:0016021	Cellular_Components	integral component of membrane	113502	11.388009953740955
GO:0005524	Molecular_Functions	ATP binding	55245.4	5.542943429176583
GO:0005737	Cellular_Components	cytoplasm	44061.9	4.420867965152496
GO:0003677	Molecular_Functions	DNA binding	43152.1	4.329584891233855
GO:0005886	Cellular_Components	plasma membrane	21281.3	2.1352192580619493
GO:0046872	Molecular_Functions	metal ion binding	18636.1	1.8698180851342867
GO:0006412	Biological_Processes	translation	17461.3	1.7519467340245718
GO:0003735	Molecular_Functions	structural constituent of ribosome	15683.2	1.5735444107285348
GO:0055085	Biological_Processes	transmembrane transport	13875	1.3921220604760776
GO:0005840	Cellular_Components	ribosome	12822.4	1.2865114168106995
GO:0006355	Biological_Processes	regulation of transcription, DNA-templated	12315.6	1.2356625908467878
GO:0016787	Molecular_Functions	hydrolase activity	11840.3	1.1879742582093622
GO:0005975	Biological_Processes	carbohydrate metabolic process	10331.1	1.0365515112781554
GO:0016887	Molecular_Functions	ATPase activity	10271	1.0305214906774627
GO:0016740	Molecular_Functions	transferase activity	9932.43	0.9965517057394168
GO:0019843	Molecular_Functions	rRNA binding	9709.32	0.9741663830069613
GO:0000287	Molecular_Functions	magnesium ion binding	8133.24	0.816033356911456
GO:0003700	Molecular_Functions	DNA-binding transcription factor activity	8072.56	0.8099451431003074
GO:0008270	Molecular_Functions	zinc ion binding	7554.23	0.7579394762457801
GO:0022857	Molecular_Functions	transmembrane transporter activity	7196.37	0.722034265394467
GO:0003723	Molecular_Functions	RNA binding	7119.19	0.7142905550789683
GO:0003676	Molecular_Functions	nucleic acid binding	6228.63	0.6249378904175216
GO:0016491	Molecular_Functions	oxidoreductase activity	6212.85	0.6233546337606342
GO:0003824	Molecular_Functions	catalytic activity	5514.34	0.5532709450786056
GO:0016301	Molecular_Functions	kinase activity	5316.22	0.5333929470518294
GO:0005525	Molecular_Functions	GTP binding	5173.17	0.519040294024723
GO:0043565	Molecular_Functions	sequence-specific DNA binding	5154.64	0.5171811212837771
GO:0051301	Biological_Processes	cell division	5133.43	0.5150530557772764
GO:0006281	Biological_Processes	DNA repair	4794.43	0.4810401275969961
GO:0030170	Molecular_Functions	pyridoxal phosphate binding	4790.75	0.48067090170996524
GO:0006313	Biological_Processes	transposition, DNA-mediated	4291.19	0.43054848754553793
GO:0006260	Biological_Processes	DNA replication	4281.95	0.429621409503102
GO:0000049	Molecular_Functions	tRNA binding	4003.38	0.40167161185360145
GO:0051539	Molecular_Functions	4 iron, 4 sulfur cluster binding	3953.18	0.39663488915551853
GO:0004803	Molecular_Functions	transposase activity	3940.51	0.39536366850642074
GO:0000160	Biological_Processes	phosphorelay signal transduction system	3726.83	0.3739244871094818
GO:0015074	Biological_Processes	DNA integration	3715.56	0.37279373283045003
GO:0006310	Biological_Processes	DNA recombination	3591.4	0.3603363724680205
GO:0042626	Molecular_Functions	ATPase-coupled transmembrane transporter activity	3517.71	0.35294282474647226
GO:0043190	Cellular_Components	ATP-binding cassette (ABC) transporter complex	3382.69	0.3393958466848161
GO:0007049	Biological_Processes	cell cycle	3296.42	0.3307401082951028
GO:0004553	Molecular_Functions	hydrolase activity, hydrolyzing O-glycosyl compounds	3291.43	0.3302394460189388
GO:0003924	Molecular_Functions	GTPase activity	3109.33	0.31196878459820415
GO:0005887	Cellular_Components	integral component of plasma membrane	2920.42	0.29301485462021953
GO:0071555	Biological_Processes	cell wall organization	2918.92	0.29286435493800594
GO:0008360	Biological_Processes	regulation of cell shape	2843.56	0.28530325090359315
GO:0009252	Biological_Processes	peptidoglycan biosynthetic process	2835.57	0.2845015892630019
GO:0000166	Molecular_Functions	nucleotide binding	2667.68	0.26765666149843764
GO:0016829	Molecular_Functions	lyase activity	2621.01	0.26297411471916426
GO:0016020	Cellular_Components	membrane	2593.59	0.2602229805282991
GO:0051287	Molecular_Functions	NAD binding	2562.82	0.25713573038049015
GO:0050660	Molecular_Functions	flavin adenine dinucleotide binding	2487.16	0.24954452640963465
GO:0004252	Molecular_Functions	serine-type endopeptidase activity	2462.51	0.24707131496525736
GO:0008168	Molecular_Functions	methyltransferase activity	2402.15	0.2410152077529809
GO:0005623	Cellular_Components	cell	2359.04	0.23668984688616115
GO:0050661	Molecular_Functions	NADP binding	2358.6	0.23664570031271182
GO:0004519	Molecular_Functions	endonuclease activity	2296.27	0.2303919368511281
GO:0009055	Molecular_Functions	electron transfer activity	2287.89	0.22955114529316129
GO:0000155	Molecular_Functions	phosphorelay sensor kinase activity	2270.47	0.22780334231705365
GO:0009058	Biological_Processes	biosynthetic process	2250.45	0.22579467322510907
GO:0004386	Molecular_Functions	helicase activity	2127.79	0.21348781254489319
GO:0006096	Biological_Processes	glycolytic process	2079.72	0.20866479939555369
GO:0006457	Biological_Processes	protein folding	2044.73	0.20515414347511712
GO:0015934	Cellular_Components	large ribosomal subunit	2043.13	0.20499361048075593
