Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Propionibacterium acnes HL063PA1	765113	684615.07	97.041	318
Staphylococcus epidermidis AU12-03	1220510	6963.2	0.987	190
Staphylococcus capitis C87	435838	4448.92	0.631	2244
Propionibacterium sp. KPL1844_u_t	1203573	2267.74	0.321	16664
Corynebacterium sp. KPL1856_u_t	1203563	2046.63	0.29	12
[Propionibacterium] namnetense SK182B-JCVI	1051006	2016.55	0.28600000000000003	41129
Cutibacterium granulosum DSM 20700	1160719	1188.83	0.169	2552
Micrococcus luteus	1270	775.03	0.11	559
Dermacoccus sp. Ellin185_u_t	188626	248.1	0.034999999999999996	3384
Escherichia coli str. K-12 substr. DH10B	316385	248.04	0.034999999999999996	11
[Propionibacterium] humerusii	1050843	124.59	0.018000000000000002	91
Caulobacter sp. JGI 0001013-D04_u_t	1157680	107.61	0.015	1919
Rothia mucilaginosa	43675	95.58	0.013999999999999999	555
Staphylococcus sp. JGI 0001002-I23_u_t	1157683	93.99	0.013	136
Staphylococcus warneri	1292	89.54	0.013	606
Propionibacteriaceae_u_t	31957	82.93	0.012	26
Corynebacterium accolens	38284	78.05	0.011000000000000001	75
