Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Staphylococcus epidermidis	1282	50.519999999999996	3307524	2971711
Lactobacillus iners	147802	18.85	666618	1108804
Lactobacillus crispatus GCA_009730275.1	47770	17.51	1050766	1029981
Propionimicrobium lymphophilum GCA_000411175.1	883161	2.82	180455	165879
Streptococcus anginosus GCA_001812815.1	1739380	2.54	137412	149409
Varibaculum massiliense GCA_900106855.1	1852372	1.32	84792	77646
Prevotella timonensis GCA_000455445.1	1122992	1.19	107201	69999
Prevotella timonensis_A GCA_000762405.1	1401062	0.72	63677	42352
Prevotella colorans GCA_003096815.1	1703337	0.49	39684	28823
Finegoldia magna_H GCA_000582635.1	1459804	0.42	22218	24705
Staphylococcus aureus	1280	0.34	23700	20000
Peptoniphilus_A harei_A GCA_000183565.2	908338	0.34	17333	20000
Anaerococcus vaginalis_B GCA_000307225.1	33037	0.29	16093	17059
Vaginimicrobium propionicum GCA_900155645.1	1871034	0.22999999999999998	13224	13529
Actinotignum sanguinis GCA_003957255.1	1445614	0.21	12081	12353
Allobacillus halotolerans GCA_007559355.1	1955271	0.2	14115	11764
Porphyromonas uenonis_A GCA_000174775.1	596327	0.2	11884	11764
Imtechella halotolerans GCA_000260835.1	946077	0.19	16908	11176
Peptoniphilus_C coxii GCA_001553115.1	755172	0.18	9397	10588
Prevotella buccalis GCA_000177075.1	679190	0.09	7973	5294
Prevotella sp000758925 GCA_000758925.1	1284775	0.08	6327	4706
Campylobacter_B ureolyticus GCA_000597825.1	827	0.07	3447	4118
Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	0.07	3372	4118
Varibaculum cambriense GCA_000420065.1	1123488	0.07	4075	4118
Prevotella bivia GCA_000262545.1	868129	0.06	4413	3529
Varibaculum timonense_A GCA_900120415.1	1870994	0.06	3593	3529
Corynebacterium pyruviciproducens GCA_000411375.1	1125779	0.06	4528	3529
Prevotella sp000479005 GCA_000479005.1	1111130	0.05	4265	2941
Finegoldia magna GCA_009678265.1	2584653	0.05	2354	2941
Peptoniphilus_A vaginalis GCA_900176605.1	1756987	0.05	2776	2941
Actinotignum schaalii_A GCA_000411135.1	883067	0.05	2935	2941
Atopobium deltae GCA_001552785.1	1393034	0.05	1973	2941
Prevotella sp900547085 GCA_900547085.1	159272	0.04	2289	2353
Campylobacter_B ureolyticus_A GCA_000413435.1	883165	0.04	1741	2353
Finegoldia magna_F GCA_000159695.1	525282	0.04	2243	2353
Urinicoccus massiliensis GCA_900120405.1	1723382	0.04	2293	2353
Aerococcus urinae_A GCA_000193205.1	2976812	0.03	1692	1765
Prevotella sp001552765 GCA_001552765.1	1497954	0.03	2912	1765
Porphyromonas uenonis GCA_000482365.1	1122976	0.03	2188	1765
Anaerococcus sp900258475 GCA_900258475.1	2057799	0.03	1883	1765
Peptoniphilus_A harei GCA_001815405.1	1739525	0.03	1461	1765
Varibaculum cambriense_A GCA_000508625.1	1403948	0.03	2109	1765
Mobiluncus curtisii GCA_000196535.1	548479	0.03	1557	1765
Dialister micraerophilus GCA_000194985.1	888062	0.03	1007	1765
Dialister sp001553355 GCA_001553355.1	1588754	0.03	1399	1765
Falseniella ignava GCA_000301055.1	883112	0.02	1125	1176
Anaerococcus jeddahensis GCA_001182725.1	1673719	0.02	871	1176
Anaerococcus lactolyticus GCA_000156575.1	525254	0.02	1061	1176
Peptoniphilus_A grossensis GCA_000311825.1	1118057	0.02	1060	1176
Peptoniphilus_B sp000478985 GCA_000478985.1	1111134	0.02	1156	1176
Varibaculum vaginae GCA_900604285.1	2364797	0.02	1387	1176
Pauljensenia radingae_A GCA_001457875.1	1673722	0.02	1567	1176
Porphyromonas asaccharolytica	28123	0.01	361	588
Porphyromonas_A somerae	322095	0.01	321	588
Porphyromonas_A bennonis GCA_000375645.1	1122971	0.01	288	588
Fenollaria_u_t	1686313	0.01	309	588
Winkia sp002849225 GCA_002849225.1	2066054	0.01	484	588
Veillonella atypica	39777	0.01	370	588
