Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus	1279	846840.1299999999	96.53699999999998	31944
Propionibacterium	1743	12230.619999999999	1.394	1079
Cutibacterium	1912216	8093.26	0.923	10121
Propionibacteriaceae_u_g	31957	4127.53	0.471	337
Micrococcus	1269	2542.54	0.29	2388
Corynebacterium	1716	1088.96	0.125	7393
Enhydrobacter	212791	811.16	0.092	8728
Paenibacillus	44249	337.08	0.038	2985
Anaerococcus	165779	334.37	0.038	3544
Kocuria	57493	206.27	0.024	2339
Streptococcus	1301	185.05	0.021	5241
Peptoniphilus	162289	156.01	0.018000000000000002	1551
Veillonella	29465	111.44	0.013	10
Neisseriaceae_u_g	481	77.21	0.009000000000000001	14
Neisseria	482	82.55	0.009000000000000001	39
