Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Propionibacteriaceae	31957	777740.1799999999	74.82499999999999	431298
Staphylococcaceae	90964	140207.43000000002	13.489999999999998	43601
Peptoniphilaceae	1570339	48054.31999999999	4.623999999999999	904872
Micrococcaceae	1268	19093.499999999996	1.837	220663
Corynebacteriaceae	1653	17663.99	1.6969999999999998	132336
Synergistaceae	649777	5454.76	0.525	1330
Veillonellaceae	31977	4511.49	0.43400000000000005	32886
Moraxellaceae	468	3950.3	0.38	4345
Prevotellaceae	171552	2584.41	0.248	26598
Tissierellia_u_f	1737404	2487.19	0.23900000000000005	23373
Campylobacteraceae	72294	2277.44	0.219	15739
Peptostreptococcaceae	186804	2173.01	0.209	5231
Aerococcaceae	186827	2119.6	0.20500000000000002	17246
Actinomycetaceae	2049	2087.63	0.201	31906
Streptococcaceae	1300	1874.52	0.18	708
Lactobacillaceae	33958	1383.6200000000001	0.13199999999999998	1908
Porphyromonadaceae	171551	1032.21	0.099	8352
Brucellaceae	118882	965.96	0.093	19848
Bifidobacteriaceae	31953	626.1600000000001	0.06	3015
Brevibacteriaceae	85019	548.25	0.053	12366
Rhodobacteraceae	31989	477.06	0.046	9103
Dermabacteraceae	85020	453.78	0.044000000000000004	7634
Microbacteriaceae	85023	269.39	0.026	1139
Pseudomonadaceae	135621	260.38	0.025	4093
Clostridiales_u_f	186802	222.25	0.021	3083
Coriobacteriaceae	84107	146.09	0.013999999999999999	2431
Enterococcaceae	81852	147.24	0.013999999999999999	15
Christensenellaceae	990719	125.87	0.012	404
Morganellaceae	1903414	112.35	0.011000000000000001	120
Pseudonocardiaceae	2070	100.46	0.01	5047
Enterobacteriaceae	543	88.4	0.009000000000000001	276
Flavobacteriaceae	49546	91.06	0.009000000000000001	71
Dietziaceae	85029	86.52	0.008	17
