Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Human immunodeficiency virus 1	11676	1098.85	14.649000000000001	0.047181	0.047181	1203
Human papillomavirus type 154	1195796	1092.95	14.57	0.149646	0.149646	845
Staphylococcus phage StB27	1147044	774.52	10.325	0.088093	0.097826	2415
Staphylococcus phage StauST398-5	1308897	604.15	8.054	0.072549	0.084109	74
Staphylococcus phage Ipla5	1197952	550.93	7.344	0.056315	0.097787	1006
Equine infectious anemia virus	11665	493.25	6.575	0.018813	0.018813	1379
Staphylococcus phage Ipla7	1197953	449.15	5.988	0.049067	0.098135	608
Staphylococcus phage StB12	1147042	396.89	5.2909999999999995	0.048186	0.060923	1485
Staphylococcus phage CNPH82	398839	322.25	4.295999999999999	0.036426	0.085604	494
Human papillomavirus type 128	931209	277.63	3.701	0.04752	0.04752	241
Staphylococcus phage PH15	399185	261.79	3.49	0.02471	0.084236	425
Staphylococcus phage StauST398-4	1308896	253.75	3.383	0.016846	0.038656	80
Staphylococcus phage StB20	1147043	225.18	3.0020000000000002	0.025637	0.03131	689
Propionibacterium phage P105	1229788	190.82	2.544	0.019653	0.034047	77
Propionibacterium phage P1.1	1229792	173.79	2.317	0.011458	0.031143	55
Propionibacterium phage PHL113M01	1235655	159.01	2.12	0.011939	0.029913	44
Sextaecvirus	1922243	119.85	1.598	0.010875	0.010875	302
Staphylococcus phage 42E	320837	56.68	0.756	0.023159	0.0116	106
