Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Lactobacillus crispatus	47770	88.91	7508640	7658784
Imtechella halotolerans GCA_000260835.1	946077	3.64	397431	313553
Allobacillus halotolerans GCA_007559355.1	1955271	3.2	283908	275651
Bifidobacterium breve GCA_002838565.1	1685	1.15	97411	99062
Limosilactobacillus vaginalis GCA_000159435.1	1423814	0.77	49586	66328
Ralstonia pickettii_B GCA_000372665.1	1264675	0.17	28696	14644
Comamonas tsuruhatensis GCA_001017795.1	558537	0.16	37477	13783
Bradyrhizobium sp003020075 GCA_003020075.1	2133945	0.15	38834	12921
Lawsonella clevelandensis GCA_001281505.1	1528099	0.12	8422	10337
Winkia neuii GCA_001812065.1	1739339	0.11	9027	9475
Bifidobacterium dentium GCA_015704005.1	1689	0.09	7922	7753
Parvimonas micra GCA_000800295.1	33033	0.09	5264	7753
Allobacillus salarius GCA_007559425.1	1955272	0.08	7521	6891
Cutibacterium acnes GCA_000145355.1	765084	0.08	7257	6891
Olegusella massiliensis GCA_900078545.1	1776381	0.07	4377	6030
Pseudomonas_E antarctica_A GCA_001647715.1	219572	0.07	15527	6030
Cystobacter_u_t	42	0.07	1994	6030
Lactobacillus_u_t	1578	0.06	4100	5168
Enterococcus faecalis GCA_014243495.1	1351	0.05	4266	4307
Winkia sp002849225 GCA_001807435.1	1581131	0.05	4082	4307
Varibaculum cambriense GCA_000420065.1	1123488	0.05	3513	4307
Corynebacterium pyruviciproducens GCA_000411375.1	1125779	0.05	4939	4307
Ezakiella coagulans GCA_003096635.1	46507	0.05	3046	4307
Comamonas acidovorans GCA_002193035.1	1472718	0.04	8485	3446
Stenotrophomonas maltophilia_A GCA_000758465.1	40324	0.04	6814	3446
Agrobacterium oryzihabitans GCA_000219665.2	1050720	0.04	6428	3446
Methylobacterium thiocyanatum GCA_000019945.1	441620	0.04	8485	3446
Limosilactobacillus portuensis GCA_019042695.1	2742601	0.03	1939	2584
Facklamia hominis GCA_000301035.1	883111	0.03	1888	2584
Pauljensenia radingae_A GCA_001457875.1	1673722	0.03	2381	2584
Actinobaculum massiliense GCA_000315465.1	883066	0.03	2050	2584
Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	0.03	1607	2584
Meiothermus_B silvanus GCA_000092125.1	526227	0.03	3288	2584
Staphylococcus haemolyticus GCA_000764065.1	1283	0.02	1717	1723
Prevotella timonensis GCA_000455445.1	1122992	0.02	2462	1723
Prevotella timonensis_A GCA_000762405.1	1401062	0.02	2306	1723
Actinotignum sanguinis GCA_003957255.1	1445614	0.02	1459	1723
Kytococcus sedentarius GCA_000023925.1	478801	0.02	1884	1723
Kocuria rosea	1275	0.02	2271	1723
Corynebacterium tuberculostearicum GCA_000156615.2	525264	0.02	1929	1723
Corynebacterium tuberculostearicum_C GCA_000175635.1	553206	0.02	1457	1723
Lancefieldella rimae GCA_000174015.1	553184	0.02	942	1723
Bilophila wadsworthia GCA_000185705.2	563192	0.02	3383	1723
Streptococcus oralis_G GCA_006228325.1	2576376	0.01	499	861
Aerococcus urinae_D GCA_001809895.1	1715159	0.01	443	861
Staphylococcus epidermidis	1282	0.01	1053	861
Varibaculum cambriense_A GCA_000508625.1	1403948	0.01	698	861
Actinotignum schaalii_A GCA_000411135.1	883067	0.01	456	861
Gleimia urinae GCA_900119695.1	1689268	0.01	548	861
Micrococcus luteus	1270	0.01	454	861
Micrococcus endophyticus GCA_000309825.2	1232675	0.01	792	861
Citricoccus terreus GCA_900116905.1	574650	0.01	609	861
Lancefieldella parvula GCA_000024225.1	521095	0.01	277	861
Paraburkholderia fungorum GCA_000685055.1	1218077	0.01	2825	861
Pararheinheimera mesophila GCA_000986865.1	1547515	0.01	797	861
Phyllobacterium myrsinacearum GCA_002980555.1	28101	0.01	2825	861
Campylobacter_B gracilis GCA_000175875.1	553220	0.01	499	861
Parvimonas sp000214475 GCA_000214475.2	767100	0.01	388	861
Parvimonas sp000223315 GCA_000223315.2	944565	0.01	448	861
Peptoniphilus_A harei_A GCA_000183565.2	908338	0.01	499	861
Finegoldia magna GCA_009678325.1	2584649	0.01	463	861
Peptoniphilus_C coxii GCA_001553115.1	755172	0.01	942	861
Meiothermus_B sp003226535 GCA_003226535.1	873128	0.01	1048	861
Allisonella pneumosinta GCA_001717505.1	39950	0.01	443	861
Anaeroglobus micronuciformis GCA_000165735.1	706434	0.01	665	861
