Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Propionibacterium phage P105	1229788	1422.93	22.945999999999998	0.129593	0.184697	842
Human immunodeficiency virus 1	11676	1259.99	20.318	0.07598	0.07598	1203
Propionibacterium phage PHL113M01	1235655	1055.02	17.013	0.063957	0.12851	471
Propionibacterium phage PHL111M01	1235653	453.59	7.314	0.027878	0.112691	209
Propionibacterium phage PHL060L00	1235647	380.86	6.142	0.020245	0.052855	147
Propionibacterium phage P1.1	1229792	305.47	4.926	0.015468	0.045567	111
Staphylococcus phage StB20	1147043	285.58	4.605	0.036874	0.03853	1013
Equine infectious anemia virus	11665	274.23	4.422000000000001	0.018813	0.018813	713
Propionibacterium phage PAD20	504501	243.61	3.9280000000000004	0.022932	0.039549	119
Phietavirus	1623298	160.49	2.588	0.014195	0.024312	53
Propionibacterium phage ATCC29399B_C	1229794	145.78	2.351	0.016139	0.027941	29
Siphoviridae	10699	111.11	1.7919999999999998	0.022654	0.022654	17
Pa6virus	1982251	102.65	1.6549999999999998	0.034286	0.034286	6
