Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Human papillomavirus type 5	333923	2926.46	31.227	0.362918	0.36409	1852
Merkel cell polyomavirus	493803	1826.81	19.493	0.261868	0.262066	775
Staphylococcus phage StB20	1147043	808.08	8.623	0.100331	0.098586	2485
Human papillomavirus type 96	247269	592.05	6.317	0.083555	0.083555	562
Human immunodeficiency virus 1	11676	550.44	5.872999999999999	0.045956	0.045956	540
Human papillomavirus type 10	333759	502.44	5.361	0.077256	0.077256	415
Propionibacterium phage P100D	1229789	340.69	3.6350000000000002	0.017677	0.05743	69
Propionibacterium phage P1.1	1229792	318.21	3.395	0.014323	0.053284	57
Propionibacterium phage P14.4	1229784	234.34	2.501	0.013789	0.040273	71
Propionibacterium phage PHL060L00	1235647	219.92	2.347	0.01411	0.037613	66
Phietavirus	1623298	212.82	2.271	0.024766	0.02896	90
Streptococcus phage EJ-1	12402	209.54	2.236	0.030148	0.030203	751
Pa6virus	1982251	175.92	1.8769999999999998	0.045093	0.045093	18
Staphylococcus phage StB27	1147044	131.3	1.401	0.021314	0.021383	446
Human papillomavirus type 109	915426	130.95	1.397	0.026695	0.026695	107
Equine infectious anemia virus	11665	109.74	1.171	0.015437	0.015437	220
Staphylococcus phage StB12	1147042	81.97	0.8750000000000001	0.013646	0.014553	343
