Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Actinomycetaceae	2049	26.459999999999997	1047747	1084276
Peptoniphilaceae	1570339	13.489999999999997	485567	552790
Streptococcaceae	1300	12.87	471417	527385
Aerococcaceae	186827	12.489999999999998	430099	511813
Mycobacteriaceae	1762	6.9399999999999995	309326	284386
Flavobacteriaceae	49546	5.6	330835	229476
Alkalibacillaceae	186817	5.26	252487	215543
Bacteroidaceae	815	4.88	286962	199972
Propionibacteriaceae	31957	4.550000000000001	176085	186449
Brevibacteriaceae	85019	1.9699999999999998	85685	80726
Staphylococcaceae	90964	1.56	74118	63925
Porphyromonadaceae	171551	1.3599999999999999	56967	55729
Micrococcaceae	1268	0.76	30380	31144
Campylobacteraceae	72294	0.72	22949	29504
Salinicoccaceae	90964	0.41	11922	16801
Negativicoccaceae	31977	0.21	5083	8605
Anaerovoracaceae	186802	0.09	2499	3688
Acutalibacteraceae	216572	0.08	3252	3278
Lactobacillaceae	33958	0.06999999999999999	2109	2869
Lachnospiraceae	186803	0.06	3366	2460
Enterococcaceae	81852	0.05	2691	2049
Burkholderiaceae_C	506	0.04	1646	1639
Akkermansiaceae	1647988	0.02	941	820
Bifidobacteriaceae	31953	0.02	747	820
Dialisteraceae	31977	0.02	409	820
Methanobacteriaceae	2159	0.02	785	820
Ruminococcaceae	216572	0.01	1196	410
Peptococcaceae	186807	0.01	519	410
