ID	Name	Copies per Million (CPM)	Relative Abundance
PWY-7238	sucrose biosynthesis II	17824.6	1.7824600033866747
PWY-5941	glycogen degradation II	16087.7	1.6087700030566636
PWY-7221	guanosine ribonucleotides de novo biosynthesis	13600.1	1.3600100025840196
PWY-6151	S-adenosyl-L-methionine salvage I	12558.8	1.2558800023861723
PWY-I9	L-cysteine biosynthesis VI (from L-methionine)	12372.1	1.2372100023506996
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	11703.3	1.1703300022236274
PWY-2942	L-lysine biosynthesis III	11678	1.1678000022188206
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	11429.7	1.1429700021716436
PWY-3841	folate transformations II (plants)	11230.6	1.1230600021338144
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	11145.8	1.1145800021177024
VALSYN-PWY	L-valine biosynthesis	10949.7	1.0949700020804434
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	10863	1.0863000020639704
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	10650.8	1.0650800020236524
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	10597.9	1.0597900020136013
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	10517.4	1.0517400019983063
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	10191.3	1.0191300019363474
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	10119.1	1.0119100019226295
PWY-5103	L-isoleucine biosynthesis III	9910.62	0.9910620018830183
P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	9769.56	0.9769560018562168
PWY-5100	pyruvate fermentation to acetate and lactate II	9769.56	0.9769560018562168
PWY-702	L-methionine biosynthesis II	9535.57	0.9535570018117586
PWY-5686	UMP biosynthesis I	9522.21	0.9522210018092201
PWY-7111	pyruvate fermentation to isobutanol (engineered)	9507.87	0.9507870018064958
THRESYN-PWY	superpathway of L-threonine biosynthesis	9483.62	0.9483620018018883
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	9455.42	0.9455420017965301
PWY-5097	L-lysine biosynthesis VI	9407.83	0.9407830017874881
PWY-724	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	9264	0.9264000017601604
PWY-3001	superpathway of L-isoleucine biosynthesis I	9193.64	0.9193640017467919
PWY-7790	UMP biosynthesis II	8792.23	0.8792230016705239
PWY-7791	UMP biosynthesis III	8792.23	0.8792230016705239
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	8752.14	0.8752140016629069
DTDPRHAMSYN-PWY	dTDP-β-L-rhamnose biosynthesis	8669.73	0.866973001647249
COA-PWY-1	superpathway of coenzyme A biosynthesis III (mammals)	8538.7	0.8538700016223535
ARO-PWY	chorismate biosynthesis I	8420.16	0.8420160015998306
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	8274.71	0.8274710015721951
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	8107.59	0.8107590015404423
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	8061.43	0.806143001531672
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	8060.59	0.8060590015315123
COA-PWY	coenzyme A biosynthesis I (prokaryotic)	8043.8	0.8043800015283222
PWY-7851	coenzyme A biosynthesis II (eukaryotic)	8043.8	0.8043800015283222
TRNA-CHARGING-PWY	tRNA charging	8001.56	0.8001560015202966
PENTOSE-P-PWY	pentose phosphate pathway	7948.6	0.7948600015102343
HSERMETANA-PWY	L-methionine biosynthesis III	7829.05	0.7829050014875198
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	7659.73	0.765973001455349
PWY-6628	superpathway of L-phenylalanine biosynthesis	7576.77	0.7576770014395866
NONMEVIPP-PWY	methylerythritol phosphate pathway I	7560.88	0.7560880014365675
PWY-1042	glycolysis IV	7552.5	0.7552500014349752
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	7454.99	0.7454990014164484
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	7454.99	0.7454990014164484
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	7217.33	0.7217330013712929
PWY-621	sucrose degradation III (sucrose invertase)	7046.87	0.7046870013389056
DAPLYSINESYN-PWY	L-lysine biosynthesis I	7006.1	0.7006100013311592
PWY-7560	methylerythritol phosphate pathway II	6984.71	0.6984710013270952
PWY-6270	isoprene biosynthesis I	6905.48	0.6905480013120414
CALVIN-PWY	Calvin-Benson-Bassham cycle	6833.15	0.6833150012982988
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	6701.75	0.6701750012733327
PWY-8178	pentose phosphate pathway (non-oxidative branch) II	6687.26	0.6687260012705797
PWY-6901	superpathway of glucose and xylose degradation	6632.46	0.6632460012601676
PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	6462.61	0.6462610012278961
PWY-7400	L-arginine biosynthesis IV (archaebacteria)	6400.77	0.6400770012161465
PWY-7953	UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	6221.52	0.6221520011820891
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	6210.26	0.6210260011799497
HISTSYN-PWY	L-histidine biosynthesis	6146.21	0.6146210011677801
PWY-6936	seleno-amino acid biosynthesis (plants)	6111.56	0.6111560011611967
P161-PWY	acetylene degradation (anaerobic)	5923.9	0.5923900011255412
PWY0-1477	ethanolamine utilization	5923.9	0.5923900011255412
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	5793.94	0.5793940011008487
GLUTORN-PWY	L-ornithine biosynthesis I	5593.66	0.5593660010627957
PWY-622	starch biosynthesis	5553.91	0.5553910010552431
PWY-6123	inosine-5'-phosphate biosynthesis I	5552.47	0.5552470010549695
ANAEROFRUCAT-PWY	homolactic fermentation	5535.83	0.5535830010518079
PWY-5695	inosine 5'-phosphate degradation	5484.25	0.5484250010420078
PYRIDNUCSYN-PWY	NAD de novo biosynthesis I (from aspartate)	5402.96	0.5402960010265626
PWY-6124	inosine-5'-phosphate biosynthesis II	5320.14	0.5320140010108269
PWY-7345	superpathway of anaerobic sucrose degradation	5186.86	0.5186860009855035
PWY-4041	γ-glutamyl cycle	5152.35	0.5152350009789467
PWY-6317	D-galactose degradation I (Leloir pathway)	5119.6	0.5119600009727243
P124-PWY	Bifidobacterium shunt	4976.86	0.49768600094560356
PWY-7357	thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	4941.41	0.4941410009388681
PWY-5484	glycolysis II (from fructose 6-phosphate)	4842.43	0.48424300092006195
PWY-6609	adenine and adenosine salvage III	4778.45	0.4778450009079057
PWY-7328	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	4768.48	0.4768480009060113
PWY-7117	C4 photosynthetic carbon assimilation cycle, PEPCK type	4691.35	0.46913500089135673
PWY-7234	inosine-5'-phosphate biosynthesis III	4612.81	0.4612810008764341
PWY0-1479	tRNA processing	4348.7	0.43487000082625316
PWY-5913	partial TCA cycle (obligate autotrophs)	4341.43	0.4341430008248719
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	4254.96	0.4254960008084426
PANTO-PWY	phosphopantothenate biosynthesis I	3943.04	0.3943040007491777
PWY-8187	L-arginine degradation XIII (reductive Stickland reaction)	3929.63	0.3929630007466298
PWY-7761	NAD salvage pathway II (PNC IV cycle)	3844.61	0.38446100073047607
PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	3791.25	0.3791250007203376
PWY-7282	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	3703.53	0.37035300070367083
P441-PWY	superpathway of N-acetylneuraminate degradation	3663.55	0.36635500069607463
PANTOSYN-PWY	superpathway of coenzyme A biosynthesis I (bacteria)	3653.5	0.3653500006941651
THISYNARA-PWY	superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	3628.34	0.36283400068938476
COLANSYN-PWY	colanic acid building blocks biosynthesis	3617.38	0.36173800068730233
GLUCONEO-PWY	gluconeogenesis I	3546.07	0.35460700067375345
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	3508.28	0.3508280006665733
PWY-6897	thiamine diphosphate salvage II	3477.27	0.3477270006606814
PWY-6527	stachyose degradation	3470.32	0.34703200065936096
PWY-5659	GDP-mannose biosynthesis	3369.21	0.33692100064015007
PWY-7663	gondoate biosynthesis (anaerobic)	3313.6	0.33136000062958415
PWY0-1061	superpathway of L-alanine biosynthesis	3290.36	0.3290360006251685
PWY-841	superpathway of purine nucleotides de novo biosynthesis I	3218.04	0.3218040006114277
PWY-1861	formaldehyde assimilation II (assimilatory RuMP Cycle)	3090.44	0.30904400058718373
1CMET2-PWY	folate transformations III (E. coli)	3052.78	0.3052780005800283
PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis	3052.54	0.3052540005799827
FASYN-ELONG-PWY	fatty acid elongation -- saturated	2926.44	0.29264400055602374
PYRIDNUCSAL-PWY	NAD salvage pathway I (PNC VI cycle)	2862.81	0.28628100054393396
PWY-6700	queuosine biosynthesis I (de novo)	2833.67	0.2833670005383974
PWY3O-4107	NAD salvage pathway V (PNC V cycle)	2831.82	0.28318200053804593
PWY-7664	oleate biosynthesis IV (anaerobic)	2827.61	0.282761000537246
