Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Imtechella halotolerans	1165090	23.47	471993	373750
Allobacillus halotolerans	570278	20.75	339401	330435
Propionimicrobium lymphophilum	33012	16.63	219978	264826
Prevotella disiens	28130	6.4	111846	101917
Peptoniphilus_C coxii	755172	3.46	40888	55099
Varibaculum massiliense	1852372	3.39	50044	53984
Brevibacterium ravenspurgense	479117	2.84	41805	45226
Peptoniphilus_B duerdenii	507750	2.21	27993	35193
Falseniella ignava	137730	1.92	21136	30575
Actinotignum schaalii_A	59505	1.39	18700	22135
Corynebacterium riegelii	156976	1.23	20114	19587
Peptoniphilus_A harei_A	54005	0.96	11177	15288
Vaginimicrobium propionicum	1871034	0.9000000000000001	11766	14332
Varibaculum cambriense	184870	0.66	8669	10510
Actinotignum sanguinis	1445614	0.64	8450	10192
Allobacillus salarius	1955272	0.63	10326	10032
Porphyromonas sp001552775	1497953	0.61	7303	9714
Anaerococcus sp900258475	77133	0.57	8269	9077
Aerococcus urinae_D	1376	0.55	7485	8759
Gleimia urinae	1689268	0.48	6082	7644
Urinicoccus massiliensis	1723382	0.45999999999999996	6001	7325
Ezakiella peruensis	1464038	0.44	4705	7007
Corynebacterium imitans	156978	0.43	7075	6848
Prevotella ihumii	1917878	0.42	8958	6688
Facklamia hominis	178214	0.4099999999999999	4902	6529
Corynebacterium sp001806875	156976	0.39	5972	6211
Fenollaria massiliensis	938288	0.37	3804	5892
Anaerococcus vaginalis_B	33037	0.35	4412	5574
Lawsonella clevelandensis	1528099	0.32	3971	5096
Porphyromonas_A somerae	322095	0.31	4660	4937
Prevotella buccalis	28127	0.29	5577	4618
Anaerococcus lactolyticus	33032	0.29	3886	4618
Actinotignum timonense	1870995	0.24	3561	3822
Faecalimonas phoceensis	2005355	0.24	3953	3822
Prevotella bergensis	242750	0.22999999999999998	4888	3663
Finegoldia magna_H	1260	0.22999999999999998	2842	3663
Trueperella bernardiae	59561	0.21	2680	3344
Corynebacterium mucifaciens	57171	0.21	2982	3344
Prevotella timonensis	386414	0.21	4335	3344
Prevotella sp900547085	838	0.21	2856	3344
Pseudoglutamicibacter cumminsii_A	156979	0.2	2634	3185
Corynebacterium sp001815985	43771	0.2	3000	3185
Prevotella timonensis_A	386414	0.2	3985	3185
Varibaculum cambriense_A	184870	0.19	2754	3026
Peptoniphilus_C pacaensis	1776390	0.19	2276	3026
Campylobacter_B ureolyticus	827	0.17	1859	2707
Dialister micraerophilus	309120	0.17	1317	2707
Staphylococcus simulans	1286	0.16	2635	2548
Gleimia europaea_B	66228	0.15	1837	2389
Peptoniphilus_A lacrimalis	33031	0.15	1711	2389
Campylobacter_B ureolyticus_A	827	0.14	1549	2229
Peptoniphilus_A grossensis	1465756	0.14	1859	2229
Prevotella sp000479005	28127	0.13	2370	2070
Peptoniphilus_A vaginalis	54005	0.13	1445	2070
Corynebacterium amycolatum_A	43765	0.12	1810	1911
Ezakiella coagulans	46507	0.12	1441	1911
Anaerococcus mediterraneensis	1870984	0.11	1403	1752
Porphyromonas_A sp900120395	1720317	0.1	1367	1592
Streptococcus halitosis	2172545	0.09	1016	1433
Urinicoccus timonensis	2024205	0.09	1088	1433
Varibaculum timonense_A	1870994	0.08	1135	1274
Winkia sp002849225	29318	0.08	1136	1274
Corynebacterium urealyticum	43771	0.08	1235	1274
Brevibacterium sp001815905	1176165	0.07	1053	1115
Corynebacterium amycolatum	43765	0.07	1132	1115
Corynebacterium gottingense	2041036	0.07	1260	1115
Finegoldia magna	1260	0.07	797	1115
Negativicoccus succinicivorans	620903	0.07	602	1115
Peptoniphilus_A harei	54005	0.06	689	955
Anaerococcus jeddahensis	1673719	0.06	740	955
Actinotignum schaalii	59505	0.05	739	796
Anaerococcus vaginimassiliensis	2042308	0.05	554	796
Micrococcus luteus	1270	0.04	597	637
Pauljensenia radingae_A	1673722	0.03	416	478
Porphyromonas_A bennonis	501496	0.03	433	478
Faecalibacterium duncaniae	411483	0.03	509	478
Ruthenibacterium lactatiformans	1550024	0.03	771	478
Peptococcus niger	2741	0.03	325	478
Olegusella massiliensis	1776381	0.02	207	318
Bacteroides fragilis_A	817	0.02	640	318
Aerococcus urinae_A	1376	0.02	248	318
Blautia_A obeum	40520	0.02	414	318
Peptoniphilus_E obesi	1472765	0.02	243	318
Mediannikoviicoccus massiliensis	1689303	0.02	296	318
Ralstonia pickettii_B	329	0.02	678	318
Staphylococcus aureus	1280	0.01	188	159
Bradyrhizobium sp003020075	2057741	0.01	621	159
