Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus phage StB20	1147043	5891.05	43.083	0.312134	0.311652	38559
Staphylococcus phage Ipla5	1197952	1656.78	12.116	0.049988	0.039203	18264
Merkel cell polyomavirus	493803	1540.89	11.269	0.214778	0.217375	752
Staphylococcus phage SMSAP5	1168612	835.68	6.112	0.042478	0.111627	48
Staphylococcus phage tp310-2	445516	725.79	5.308	0.037705	0.095077	256
Viruses	10239	687.21	5.026	0.014737	0.095556	21
Staphylococcus phage StB27	1147044	542.99	3.971	0.026343	0.023788	5881
Siphoviridae	10699	464.2	3.395	0.166996	0.023623	1997
Staphylococcus phage CNPH82	398839	305.13	2.231	0.029282	0.027987	1760
Staphylococcus phage PH15	399185	284.05	2.077	0.018164	0.027913	1404
Staphylococcus phage phiMR11	379501	189.38	1.385	0.010405	0.028751	59
Staphylococcus phage Ipla7	1197953	183.45	1.3419999999999999	0.01738	0.026027	636
Staphylococcus phage PT1028	320831	124.94	0.914	0.017332	0.017332	390
Human papillomavirus type 5	333923	103.85	0.759	0.021333	0.021333	99
Pa6virus	1982251	79.67	0.583	0.023873	0.023873	9
Enterococcus phage phiFL3A	673837	58.77	0.43	0.013206	0.010125	249
