Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Haemophilus parasuis GENE tetB		-	76477.75	4.475	0.931478	0.931478	19123
Escherichia coli GENE senB		-	70163.02	4.106	0.880645	0.880645	22713
Escherichia coli GENE 963 Branch		-	66568.44	3.895	0.68617	0.68617	4476
Escherichia coli GENE cnf1		-	55936.66	3.273	0.820236	0.820236	50552
Escherichia coli GENE draA		-	54353.91	3.1809999999999996	1	1	3845
Escherichia coli GENE sat		-	48255.62	2.8240000000000003	0.789244	0.808824	45688
Escherichia coli GENE yddA		-	46461.6	2.719	0.704348	0.704348	3560
Staphylococcus lentus GENE repL		-	39860.03	2.332	1	1	5036
Escherichia coli GENE draC		-	38805.11	2.271	0.821192	0.821192	12337
Staphylococcus lentus GENE ermC		-	37742.03	2.2079999999999997	1	1	6904
Escherichia coli GENE papC		-	36859.55	2.157	0.828947	0.828947	14270
Enterobacter GENE agg		-	34524.14	2.02	0.777624	0.784971	41700
Enterococcus faecium GI 21886745		-	33724.1	1.973	1	0.954984	305
Yersinia pestis GENE irp1		-	33045.02	1.934	0.969504	0.971403	32556
Proteus mirabilis GENE tnpA		-	32481.1	1.9009999999999998	1	1	560
Yersinia pestis GENE ybtP		-	32455.7	1.899	0.961708	0.961708	10944
Yersinia pestis GENE irp2		-	31478.3	1.8419999999999999	0.932656	0.947153	20357
Yersinia pestis GENE ybtQ		-	30190.71	1.7670000000000001	0.986726	0.986726	10018
Yersinia pestis GENE ybtS		-	30049.94	1.7579999999999998	0.97451	0.97451	7829
Escherichia coli GENE draD		-	29904.42	1.7500000000000002	0.649007	0.649007	2962
Escherichia coli GENE yehA		-	29614.78	1.733	0.666667	0.666667	626
Escherichia coli GENE draP		-	28840.86	1.688	0.769231	0.769231	1137
Escherichia coli GI 38606113		-	28724.35	1.6809999999999998	0.497326	0.497326	3530
Yersinia pestis GENE ybtA		-	28667.15	1.677	0.986486	0.986486	5630
Yersinia pestis GENE ybtE		-	28640.96	1.6760000000000002	0.982111	0.982111	8009
Yersinia pestis GENE fyuA		-	28430.75	1.664	0.984655	0.984655	10583
Yersinia pestis GENE ybtX		-	27765.55	1.625	0.984716	0.984716	6518
Escherichia coli GENE lpfA		-	25779.93	1.509	0.410526	0.410526	8522
Escherichia coli GENE ompA		-	25632.48	1.5	0.854237	0.854237	4256
Yersinia pestis GENE ybtU		-	25161.05	1.472	1	1	4840
Enterobacter GENE espfs		-	24549.25	1.436	0.976456	0.981982	15909
Enterococcus faecalis GeneID EF0149		-	22628.02	1.324	1	1	5875
Staphylococcus aureus GI 33390919		-	21448.58	1.2550000000000001	1	1	1981
Enterococcus faecium GENE ermB		-	21016.82	1.23	0.934473	0.934473	3839
Enterococcus faecalis GENE cylR2		-	20798.95	1.217	1	1	1030
Enterobacter GENE cylB		-	19782.46	1.158	0.911635	0.911635	11222
Yersinia pestis GENE ybtT		-	17502.89	1.024	0.807018	0.807018	2738
Enterobacter GENE cylA		-	17207.79	1.0070000000000001	0.868118	0.868118	6027
Enterococcus faecium GI 21886746		-	16974.24	0.993	1	1	657
Enterobacter GENE cylM		-	16716.85	0.9780000000000001	0.796488	0.875731	7268
Enterobacter GENE hylA		-	16473.36	0.964	0.730065	0.767267	9608
Enterococcus faecalis GENE cylL-s		-	16389.04	0.959	1	1	844
Enterobacter GENE cad		-	15425.17	0.903	0.723473	0.723473	4690
Enterobacter GENE cCF10		-	13983.58	0.818	0.703854	0.703854	3466
Enterobacter GENE tpx		-	13775.54	0.8059999999999999	0.786408	0.786408	2214
Enterobacter GENE ebpC		-	13208.85	0.773	0.807826	0.774606	5982
Enterococcus faecalis GeneID EF0954		-	13030.61	0.762	0.777228	0.777228	2578
Enterobacter GENE ElrA		-	12265.35	0.718	0.745111	0.745111	7009
Enterobacter GENE SrtA		-	11961.83	0.7000000000000001	0.73774	0.73774	2669
Enterococcus faecium GENE sat4		-	11467.39	0.6709999999999999	1	1	922
Enterobacter GENE ebpA		-	11370.3	0.6649999999999999	0.748737	0.748737	8515
Enterococcus faecalis GENE fsrC		-	10355.31	0.606	0.757009	0.757009	2758
Parabacteroides distasonis GI 32395282		-	10318.24	0.604	0.826087	0.826087	576
Enterococcus faecium GENE aadE		-	10277.21	0.601	1	1	1361
Enterococcus faecalis GeneID EF1817		-	9084.56	0.532	0.706044	0.706044	1531
Staphylococcus epidermidis GeneID SEA1545		-	8592.27	0.503	0.878378	0.878378	813
Enterobacter GENE cOB1		-	8453.32	0.49500000000000005	0.658423	0.658423	2260
Klebsiella pneumoniae GENE tnpA		-	8413.78	0.492	0.995261	0.995261	658
Enterobacter GENE efaAfs		-	7964.7	0.466	0.440758	0.722307	380
Enterobacter GENE camE		-	7775.6	0.455	0.723529	0.723529	1125
Bacteroides fragilis GENE tetQ		-	7492.19	0.438	0.794366	0.794366	1613
Bacteroides vulgatus GI 33413459		-	7468.68	0.437	1	1	309
Enterobacter GENE gelE		-	7329.9	0.42900000000000005	0.415274	0.554074	1804
Staphylococcus aureus GI 33390920		-	7017.1	0.411	0.859873	0.859873	458
Staphylococcus aureus GI 33390939		-	6677.37	0.391	1	1	152
Streptococcus pyogenes GI 52345264		-	6459.01	0.378	0.727011	0.727011	822
Enterococcus faecalis GI 48190		-	6304.5	0.369	0.418384	0.418384	1948
Escherichia coli GENE aphA7		-	6232.38	0.365	0.85625	0.85625	559
Enterococcus faecium GI 21886752		-	6145.44	0.36	0.636637	0.636637	844
Bacteroides fragilis GENE rteA		-	6159.37	0.36	0.745273	0.745273	1327
Staphylococcus aureus GENE thyA		-	6131.54	0.359	0.847328	0.847328	720
Enterococcus faecium GI 21886747		-	5505.71	0.322	0.814815	0.814815	104
Staphylococcus lentus GI 60416748		-	5015.34	0.293	0.5	0.5	71
Klebsiella pneumoniae GENE tnp		-	4865.57	0.28500000000000003	0.818653	0.818653	240
Bacteroides fragilis GENE rteB		-	4759.87	0.27899999999999997	0.614537	0.614537	657
Staphylococcus aureus GI 33390947		-	4732.51	0.27699999999999997	1	1	66
Staphylococcus aureus GENE blaI		-	4233.05	0.248	0.767196	0.767196	182
Bacteroides fragilis GENE exc		-	4141.37	0.242	0.567785	0.567785	718
Staphylococcus aureus GENE dfrA		-	3703.28	0.217	0.570815	0.570815	280
Staphylococcus lentus GENE repC		-	3577.36	0.209	0.542923	0.542923	392
Bacteroides fragilis GI 46242810		-	3436.46	0.201	0.55914	0.55914	148
Staphylococcus aureus GENE AACA-APHD		-	3375.47	0.198	0.536972	0.536972	380
Parabacteroides distasonis GI 32395281		-	3314.19	0.194	1	1	22
Enterococcus hirae GENE ermB		-	2866.81	0.168	1	1	12
Bacteroides fragilis GI 46242808		-	2679.23	0.157	0.503704	0.503704	122
Bacteroides fragilis GENE mobA		-	2585.8	0.151	0.42953	0.42953	159
Bacteroides fragilis GI 46242797		-	2578.91	0.151	0.429175	0.429175	276
Bacteroides fragilis GENE traN		-	2497.71	0.146	0.453287	0.453287	175
Bacteroides fragilis GI 46242809		-	2149.7	0.126	0.471074	0.471074	73
Pseudomonas aeruginosa GENE intI1		-	1918.34	0.11199999999999999	0.52	0.52	32
Pseudomonas putida GENE qacEdelta1		-	1808.24	0.106	1	1	6
