Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Imtechella halotolerans GCA_000260835.1	946077	39.42	135719	119903
Allobacillus halotolerans GCA_007559355.1	1955271	35.95	100698	109349
Corynebacterium striatum GCA_000159135.1	525268	7.139999999999999	21257	21718
Prevotella timonensis GCA_000455445.1	1122992	1.9900000000000002	7064	6053
Actinobaculum massiliense GCA_000315465.1	883066	1.95	4339	5931
Corynebacterium phoceense GCA_900092335.1	1686286	1.7500000000000002	5329	5323
Prevotella timonensis_A GCA_000762405.1	1401062	1.43	5005	4350
Pauljensenia turicensis GCA_000296505.1	883077	1.17	2521	3559
Allobacillus salarius GCA_007559425.1	1955272	1.1	3123	3346
Corynebacterium amycolatum GCA_001807105.1	1581103	1.04	2870	3163
Vaginimicrobium propionicum GCA_900155645.1	1871034	0.74	1652	2251
Varibaculum massiliense GCA_900106855.1	1852372	0.59	1493	1795
Brevibacterium ravenspurgense GCA_001806795.1	1581055	0.45000000000000007	1139	1369
Finegoldia magna_H GCA_000179495.1	768713	0.4099999999999999	800	1247
Peptoniphilus_A harei_A GCA_000183565.2	908338	0.4099999999999999	821	1247
Ezakiella coagulans GCA_003096635.1	46507	0.4099999999999999	812	1247
Streptococcus agalactiae GCA_000288295.1	1154944	0.38	902	1156
Corynebacterium simulans GCA_001586215.1	146827	0.38	1153	1156
Atopobium deltae GCA_001552785.1	1393034	0.38	610	1156
Olegusella massiliensis GCA_900078545.1	1776381	0.31	630	943
Prevotella buccalis GCA_000177075.1	679190	0.27	883	821
Propionimicrobium lymphophilum	33012	0.26	593	791
Trueperella bernardiae	59561	0.25	566	760
Actinotignum sanguinis GCA_003957255.1	1445614	0.22	494	669
Peptoniphilus_C pacaensis GCA_900088125.1	1776390	0.22	458	669
Peptococcus niger GCA_900101835.1	2741	0.17	375	517
Peptoniphilus_B duerdenii GCA_000478945.1	1111133	0.16	347	487
Prevotella bergensis GCA_000160535.1	585502	0.15	525	456
Pseudoglutamicibacter_u_t	1742991	0.14	317	426
Anaerococcus vaginalis GCA_001812365.1	1739356	0.14	299	426
Porphyromonas_A somerae	322095	0.11	293	335
Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	0.1	197	304
Anaerococcus vaginalis_C GCA_001815585.1	1739537	0.1	195	304
Dermabacter hominis	36740	0.08	210	243
Anaerococcus obesiensis GCA_000311745.1	1118056	0.08	168	243
Anaerococcus vaginalis_B GCA_000307225.1	33037	0.07	147	213
Anaerococcus lactolyticus	33032	0.07	165	213
